COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;00352;Brassac-les-Mines;CHAR;5
CODGEO;Code géographique;Code géographique;00353;Digoin;CHAR;5
CODGEO;Code géographique;Code géographique;00354;Montpon-Ménestérol;CHAR;5
CODGEO;Code géographique;Code géographique;00355;Épernon;CHAR;5
CODGEO;Code géographique;Code géographique;00356;Saint-Lubin-des-Joncherets - Nonancourt;CHAR;5
CODGEO;Code géographique;Code géographique;00357;Valserhône;CHAR;5
CODGEO;Code géographique;Code géographique;00358;Allevard;CHAR;5
CODGEO;Code géographique;Code géographique;00359;Gisors;CHAR;5
CODGEO;Code géographique;Code géographique;00360;Le Pont-de-Beauvoisin;CHAR;5
CODGEO;Code géographique;Code géographique;00361;Ézy-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;00362;Le Grau-du-Roi;CHAR;5
CODGEO;Code géographique;Code géographique;00363;Honfleur;CHAR;5
CODGEO;Code géographique;Code géographique;00364;Figeac;CHAR;5
CODGEO;Code géographique;Code géographique;00365;Clisson;CHAR;5
CODGEO;Code géographique;Code géographique;00366;Esch-sur-Alzette (LUX) - Villerupt (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00451;Belleville-en-Beaujolais;CHAR;5
CODGEO;Code géographique;Code géographique;00452;Redon;CHAR;5
CODGEO;Code géographique;Code géographique;00453;Eu;CHAR;5
CODGEO;Code géographique;Code géographique;00454;Jœuf;CHAR;5
CODGEO;Code géographique;Code géographique;00455;Marmande;CHAR;5
CODGEO;Code géographique;Code géographique;00456;Beaucaire;CHAR;5
CODGEO;Code géographique;Code géographique;00457;Tournon-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;00458;Dinard;CHAR;5
CODGEO;Code géographique;Code géographique;00459;Persan - Beaumont-sur-Oise;CHAR;5
CODGEO;Code géographique;Code géographique;00460;Saint-Dizier;CHAR;5
CODGEO;Code géographique;Code géographique;00461;Alençon;CHAR;5
CODGEO;Code géographique;Code géographique;00462;Sallanches;CHAR;5
CODGEO;Code géographique;Code géographique;00463;Lunel;CHAR;5
CODGEO;Code géographique;Code géographique;00464;Mâcon;CHAR;5
CODGEO;Code géographique;Code géographique;00551;Montélimar;CHAR;5
CODGEO;Code géographique;Code géographique;00552;Arles;CHAR;5
CODGEO;Code géographique;Code géographique;00553;Bergerac;CHAR;5
CODGEO;Code géographique;Code géographique;00554;Brive-la-Gaillarde;CHAR;5
CODGEO;Code géographique;Code géographique;00555;Belfort;CHAR;5
CODGEO;Code géographique;Code géographique;00556;Vienne;CHAR;5
CODGEO;Code géographique;Code géographique;00651;Valence;CHAR;5
CODGEO;Code géographique;Code géographique;00652;Genève (SUI) - Annemasse (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00751;Bayonne (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;00752;Béthune;CHAR;5
CODGEO;Code géographique;Code géographique;00753;Saint-Étienne;CHAR;5
CODGEO;Code géographique;Code géographique;00754;Avignon;CHAR;5
CODGEO;Code géographique;Code géographique;00755;Rouen;CHAR;5
CODGEO;Code géographique;Code géographique;00756;Douai - Lens;CHAR;5
CODGEO;Code géographique;Code géographique;00757;Toulon;CHAR;5
CODGEO;Code géographique;Code géographique;00758;Lyon;CHAR;5
CODGEO;Code géographique;Code géographique;00759;Marseille - Aix-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;00851;Paris;CHAR;5
CODGEO;Code géographique;Code géographique;01101;Versonnex;CHAR;5
CODGEO;Code géographique;Code géographique;01102;Saint-Martin-du-Frêne;CHAR;5
CODGEO;Code géographique;Code géographique;01103;Loyettes;CHAR;5
CODGEO;Code géographique;Code géographique;01104;Buellas;CHAR;5
CODGEO;Code géographique;Code géographique;01105;Pont-d'Ain;CHAR;5
CODGEO;Code géographique;Code géographique;01106;Vonnas;CHAR;5
CODGEO;Code géographique;Code géographique;01107;Villieu-Loyes-Mollon;CHAR;5
CODGEO;Code géographique;Code géographique;01108;Crozet;CHAR;5
CODGEO;Code géographique;Code géographique;01109;Culoz;CHAR;5
CODGEO;Code géographique;Code géographique;01110;Saint-André-de-Corcy;CHAR;5
CODGEO;Code géographique;Code géographique;01111;Montagnat;CHAR;5
CODGEO;Code géographique;Code géographique;01112;Feillens;CHAR;5
CODGEO;Code géographique;Code géographique;01113;Replonges;CHAR;5
CODGEO;Code géographique;Code géographique;01114;Ceyzériat;CHAR;5
CODGEO;Code géographique;Code géographique;01115;Montrevel-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;01116;Jujurieux;CHAR;5
CODGEO;Code géographique;Code géographique;01117;Pont-de-Vaux;CHAR;5
CODGEO;Code géographique;Code géographique;01118;Saint-Didier-sur-Chalaronne - Thoissey;CHAR;5
CODGEO;Code géographique;Code géographique;01121;Crottet - Pont-de-Veyle;CHAR;5
CODGEO;Code géographique;Code géographique;01122;Villars-les-Dombes;CHAR;5
CODGEO;Code géographique;Code géographique;01123;Nantua;CHAR;5
CODGEO;Code géographique;Code géographique;01124;Châtillon-sur-Chalaronne;CHAR;5
CODGEO;Code géographique;Code géographique;01201;Béligneux;CHAR;5
CODGEO;Code géographique;Code géographique;01202;Montréal-la-Cluse;CHAR;5
CODGEO;Code géographique;Code géographique;01203;Divonne-les-Bains (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;01204;Lagnieu;CHAR;5
CODGEO;Code géographique;Code géographique;01205;Belley;CHAR;5
CODGEO;Code géographique;Code géographique;01206;Meximieux;CHAR;5
CODGEO;Code géographique;Code géographique;01207;Plateau d'Hauteville;CHAR;5
CODGEO;Code géographique;Code géographique;01301;Gex;CHAR;5
CODGEO;Code géographique;Code géographique;01302;Ambérieu-en-Bugey;CHAR;5
CODGEO;Code géographique;Code géographique;01401;Oyonnax;CHAR;5
CODGEO;Code géographique;Code géographique;01501;Bourg-en-Bresse;CHAR;5
CODGEO;Code géographique;Code géographique;02101;Ribemont;CHAR;5
CODGEO;Code géographique;Code géographique;02102;Vailly-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02103;Braine;CHAR;5
CODGEO;Code géographique;Code géographique;02104;Villeneuve-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02105;Sissonne;CHAR;5
CODGEO;Code géographique;Code géographique;02106;Nesles-la-Montagne;CHAR;5
CODGEO;Code géographique;Code géographique;02107;La Ferté-Milon;CHAR;5
CODGEO;Code géographique;Code géographique;02108;Vic-sur-Aisne;CHAR;5
CODGEO;Code géographique;Code géographique;02109;Saint-Gobain;CHAR;5
CODGEO;Code géographique;Code géographique;02110;Marle;CHAR;5
CODGEO;Code géographique;Code géographique;02111;Montcornet;CHAR;5
CODGEO;Code géographique;Code géographique;02112;Venizel;CHAR;5
CODGEO;Code géographique;Code géographique;02113;Le Nouvion-en-Thiérache;CHAR;5
CODGEO;Code géographique;Code géographique;02114;Montescourt-Lizerolles;CHAR;5
CODGEO;Code géographique;Code géographique;02115;Fresnoy-le-Grand;CHAR;5
CODGEO;Code géographique;Code géographique;02116;Origny-Sainte-Benoite;CHAR;5
CODGEO;Code géographique;Code géographique;02117;Fère-en-Tardenois;CHAR;5
CODGEO;Code géographique;Code géographique;02118;Étreux;CHAR;5
CODGEO;Code géographique;Code géographique;02119;Saint-Michel;CHAR;5
CODGEO;Code géographique;Code géographique;02120;Vervins;CHAR;5
CODGEO;Code géographique;Code géographique;02121;Pinon;CHAR;5
CODGEO;Code géographique;Code géographique;02201;Guise;CHAR;5
CODGEO;Code géographique;Code géographique;02202;Bohain-en-Vermandois;CHAR;5
CODGEO;Code géographique;Code géographique;02203;Charly-sur-Marne;CHAR;5
CODGEO;Code géographique;Code géographique;02301;Villers-Cotterêts;CHAR;5
CODGEO;Code géographique;Code géographique;02302;Hirson;CHAR;5
CODGEO;Code géographique;Code géographique;02303;Chauny;CHAR;5
CODGEO;Code géographique;Code géographique;02401;Château-Thierry;CHAR;5
CODGEO;Code géographique;Code géographique;02402;Tergnier;CHAR;5
CODGEO;Code géographique;Code géographique;02403;Laon;CHAR;5
CODGEO;Code géographique;Code géographique;02404;Soissons;CHAR;5
CODGEO;Code géographique;Code géographique;02501;Saint-Quentin;CHAR;5
CODGEO;Code géographique;Code géographique;03101;Cosne-d'Allier;CHAR;5
CODGEO;Code géographique;Code géographique;03102;Bourbon-l'Archambault;CHAR;5
CODGEO;Code géographique;Code géographique;03103;Néris-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;03104;Lapalisse;CHAR;5
CODGEO;Code géographique;Code géographique;03105;Dompierre-sur-Besbre;CHAR;5
CODGEO;Code géographique;Code géographique;03106;Varennes-sur-Allier;CHAR;5
CODGEO;Code géographique;Code géographique;03107;Saint-Germain-des-Fossés;CHAR;5
CODGEO;Code géographique;Code géographique;03201;Saint-Pourçain-sur-Sioule;CHAR;5
CODGEO;Code géographique;Code géographique;03202;Gannat;CHAR;5
CODGEO;Code géographique;Code géographique;03203;Commentry;CHAR;5
CODGEO;Code géographique;Code géographique;03401;Moulins;CHAR;5
CODGEO;Code géographique;Code géographique;03501;Montluçon;CHAR;5
CODGEO;Code géographique;Code géographique;03502;Vichy;CHAR;5
CODGEO;Code géographique;Code géographique;04101;Gréoux-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04102;Peyruis;CHAR;5
CODGEO;Code géographique;Code géographique;04103;Volx;CHAR;5
CODGEO;Code géographique;Code géographique;04104;Les Mées;CHAR;5
CODGEO;Code géographique;Code géographique;04105;Villeneuve;CHAR;5
CODGEO;Code géographique;Code géographique;04106;Barcelonnette;CHAR;5
CODGEO;Code géographique;Code géographique;04201;Oraison;CHAR;5
CODGEO;Code géographique;Code géographique;04202;Forcalquier;CHAR;5
CODGEO;Code géographique;Code géographique;04203;Château-Arnoux-Saint-Auban;CHAR;5
CODGEO;Code géographique;Code géographique;04204;Sisteron;CHAR;5
CODGEO;Code géographique;Code géographique;04301;Digne-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;04401;Manosque;CHAR;5
CODGEO;Code géographique;Code géographique;05101;L'Argentière-la-Bessée;CHAR;5
CODGEO;Code géographique;Code géographique;05102;Guillestre;CHAR;5
CODGEO;Code géographique;Code géographique;05103;Veynes;CHAR;5
CODGEO;Code géographique;Code géographique;05104;Laragne-Montéglin;CHAR;5
CODGEO;Code géographique;Code géographique;05201;Embrun;CHAR;5
CODGEO;Code géographique;Code géographique;05301;Briançon;CHAR;5
CODGEO;Code géographique;Code géographique;05401;Gap;CHAR;5
CODGEO;Code géographique;Code géographique;06101;Breil-sur-Roya;CHAR;5
CODGEO;Code géographique;Code géographique;06102;L'Escarène;CHAR;5
CODGEO;Code géographique;Code géographique;06103;Saint-Martin-du-Var;CHAR;5
CODGEO;Code géographique;Code géographique;06104;Roquebillière;CHAR;5
CODGEO;Code géographique;Code géographique;06105;Saint-Vallier-de-Thiey;CHAR;5
CODGEO;Code géographique;Code géographique;06106;Saint-Cézaire-sur-Siagne;CHAR;5
CODGEO;Code géographique;Code géographique;06107;Sospel;CHAR;5
CODGEO;Code géographique;Code géographique;06108;Levens;CHAR;5
CODGEO;Code géographique;Code géographique;06501;Menton - Monaco (partie française);CHAR;5
CODGEO;Code géographique;Code géographique;06701;Nice;CHAR;5
CODGEO;Code géographique;Code géographique;07101;Lalevade-d'Ardèche;CHAR;5
CODGEO;Code géographique;Code géographique;07102;Lamastre;CHAR;5
CODGEO;Code géographique;Code géographique;07103;Saint-Agrève;CHAR;5
CODGEO;Code géographique;Code géographique;07104;Chomérac;CHAR;5
CODGEO;Code géographique;Code géographique;07105;Cruas;CHAR;5
CODGEO;Code géographique;Code géographique;07106;Villeneuve-de-Berg;CHAR;5
