COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;14201;Hermanville-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14202;Blainville-sur-Orne;CHAR;5
CODGEO;Code géographique;Code géographique;14203;Saint-Martin-de-Fontenay;CHAR;5
CODGEO;Code géographique;Code géographique;14204;Argences;CHAR;5
CODGEO;Code géographique;Code géographique;14205;Falaise;CHAR;5
CODGEO;Code géographique;Code géographique;14206;Ouistreham;CHAR;5
CODGEO;Code géographique;Code géographique;14207;Livarot-Pays-d'Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14208;Thue et Mue;CHAR;5
CODGEO;Code géographique;Code géographique;14210;Saint-Pierre-en-Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14211;Mézidon Vallée d'Auge;CHAR;5
CODGEO;Code géographique;Code géographique;14301;Vire Normandie;CHAR;5
CODGEO;Code géographique;Code géographique;14302;Douvres-la-Délivrande - Luc-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14303;Bayeux;CHAR;5
CODGEO;Code géographique;Code géographique;14401;Lisieux;CHAR;5
CODGEO;Code géographique;Code géographique;14402;Dives-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14601;Caen;CHAR;5
CODGEO;Code géographique;Code géographique;15101;Murat;CHAR;5
CODGEO;Code géographique;Code géographique;15102;Riom-ès-Montagnes;CHAR;5
CODGEO;Code géographique;Code géographique;15103;Ydes;CHAR;5
CODGEO;Code géographique;Code géographique;15104;Maurs;CHAR;5
CODGEO;Code géographique;Code géographique;15105;Mauriac;CHAR;5
CODGEO;Code géographique;Code géographique;15201;Saint-Flour;CHAR;5
CODGEO;Code géographique;Code géographique;15401;Aurillac;CHAR;5
CODGEO;Code géographique;Code géographique;16101;Terres-de-Haute-Charente;CHAR;5
CODGEO;Code géographique;Code géographique;16102;Confolens;CHAR;5
CODGEO;Code géographique;Code géographique;16103;Chasseneuil-sur-Bonnieure;CHAR;5
CODGEO;Code géographique;Code géographique;16104;La Rochefoucauld-en-Angoumois;CHAR;5
CODGEO;Code géographique;Code géographique;16105;Châteauneuf-sur-Charente;CHAR;5
CODGEO;Code géographique;Code géographique;16106;Ruffec;CHAR;5
CODGEO;Code géographique;Code géographique;16107;Barbezieux-Saint-Hilaire;CHAR;5
CODGEO;Code géographique;Code géographique;16108;Jarnac;CHAR;5
CODGEO;Code géographique;Code géographique;16401;Cognac;CHAR;5
CODGEO;Code géographique;Code géographique;16601;Angoulême;CHAR;5
CODGEO;Code géographique;Code géographique;17101;Matha;CHAR;5
CODGEO;Code géographique;Code géographique;17102;La Jarne;CHAR;5
CODGEO;Code géographique;Code géographique;17103;Rivedoux-Plage;CHAR;5
CODGEO;Code géographique;Code géographique;17104;Le Bois-Plage-en-Ré;CHAR;5
CODGEO;Code géographique;Code géographique;17105;Saint-Agnant;CHAR;5
CODGEO;Code géographique;Code géographique;17106;Saint-Trojan-les-Bains;CHAR;5
CODGEO;Code géographique;Code géographique;17107;Marsilly;CHAR;5
CODGEO;Code géographique;Code géographique;17108;Breuillet;CHAR;5
CODGEO;Code géographique;Code géographique;17109;La Jarrie;CHAR;5
CODGEO;Code géographique;Code géographique;17110;Port-des-Barques;CHAR;5
CODGEO;Code géographique;Code géographique;17111;Sainte-Marie-de-Ré;CHAR;5
CODGEO;Code géographique;Code géographique;17112;Montendre;CHAR;5
CODGEO;Code géographique;Code géographique;17113;Aigrefeuille-d'Aunis;CHAR;5
CODGEO;Code géographique;Code géographique;17114;Le Château-d'Oléron;CHAR;5
CODGEO;Code géographique;Code géographique;17115;Fouras;CHAR;5
CODGEO;Code géographique;Code géographique;17116;Pons;CHAR;5
CODGEO;Code géographique;Code géographique;17117;Saint-Xandre;CHAR;5
CODGEO;Code géographique;Code géographique;17118;Ars-en-Ré;CHAR;5
CODGEO;Code géographique;Code géographique;17119;Marans;CHAR;5
CODGEO;Code géographique;Code géographique;17201;Jonzac;CHAR;5
CODGEO;Code géographique;Code géographique;17202;La Flotte;CHAR;5
CODGEO;Code géographique;Code géographique;17203;Surgères;CHAR;5
CODGEO;Code géographique;Code géographique;17204;Saint-Pierre-d'Oléron;CHAR;5
CODGEO;Code géographique;Code géographique;17205;Saujon;CHAR;5
CODGEO;Code géographique;Code géographique;17206;Marennes-Hiers-Brouage;CHAR;5
CODGEO;Code géographique;Code géographique;17207;Saint-Jean-d'Angély;CHAR;5
CODGEO;Code géographique;Code géographique;17301;La Tremblade;CHAR;5
CODGEO;Code géographique;Code géographique;17401;Saintes;CHAR;5
CODGEO;Code géographique;Code géographique;17402;Royan;CHAR;5
CODGEO;Code géographique;Code géographique;17403;Rochefort;CHAR;5
CODGEO;Code géographique;Code géographique;17601;La Rochelle;CHAR;5
CODGEO;Code géographique;Code géographique;18101;Argent-sur-Sauldre;CHAR;5
CODGEO;Code géographique;Code géographique;18102;Avord;CHAR;5
CODGEO;Code géographique;Code géographique;18103;Sancoins;CHAR;5
CODGEO;Code géographique;Code géographique;18104;La Chapelle-Saint-Ursin;CHAR;5
CODGEO;Code géographique;Code géographique;18105;Sancerre;CHAR;5
CODGEO;Code géographique;Code géographique;18106;La Guerche-sur-l'Aubois;CHAR;5
CODGEO;Code géographique;Code géographique;18107;Dun-sur-Auron;CHAR;5
CODGEO;Code géographique;Code géographique;18201;Aubigny-sur-Nère;CHAR;5
CODGEO;Code géographique;Code géographique;18202;Saint-Florent-sur-Cher;CHAR;5
CODGEO;Code géographique;Code géographique;18203;Mehun-sur-Yèvre;CHAR;5
CODGEO;Code géographique;Code géographique;18301;Saint-Amand-Montrond;CHAR;5
CODGEO;Code géographique;Code géographique;18401;Vierzon;CHAR;5
CODGEO;Code géographique;Code géographique;18501;Bourges;CHAR;5
CODGEO;Code géographique;Code géographique;19101;Meymac;CHAR;5
CODGEO;Code géographique;Code géographique;19102;Argentat;CHAR;5
CODGEO;Code géographique;Code géographique;19103;Uzerche;CHAR;5
CODGEO;Code géographique;Code géographique;19104;Bort-les-Orgues;CHAR;5
CODGEO;Code géographique;Code géographique;19105;Objat;CHAR;5
CODGEO;Code géographique;Code géographique;19106;Égletons;CHAR;5
CODGEO;Code géographique;Code géographique;19201;Allassac;CHAR;5
CODGEO;Code géographique;Code géographique;19301;Ussel;CHAR;5
CODGEO;Code géographique;Code géographique;19401;Tulle;CHAR;5
CODGEO;Code géographique;Code géographique;21101;Selongey;CHAR;5
CODGEO;Code géographique;Code géographique;21102;Arc-sur-Tille;CHAR;5
CODGEO;Code géographique;Code géographique;21103;Brazey-en-Plaine;CHAR;5
CODGEO;Code géographique;Code géographique;21104;Saulieu;CHAR;5
CODGEO;Code géographique;Code géographique;21105;Seurre;CHAR;5
CODGEO;Code géographique;Code géographique;21106;Saint-Jean-de-Losne;CHAR;5
CODGEO;Code géographique;Code géographique;21107;Venarey-les-Laumes;CHAR;5
CODGEO;Code géographique;Code géographique;21108;Saint-Julien;CHAR;5
CODGEO;Code géographique;Code géographique;21109;Semur-en-Auxois;CHAR;5
CODGEO;Code géographique;Code géographique;21110;Gevrey-Chambertin;CHAR;5
CODGEO;Code géographique;Code géographique;21201;Is-sur-Tille;CHAR;5
CODGEO;Code géographique;Code géographique;21202;Genlis;CHAR;5
CODGEO;Code géographique;Code géographique;21203;Châtillon-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;21204;Nuits-Saint-Georges;CHAR;5
CODGEO;Code géographique;Code géographique;21205;Montbard;CHAR;5
CODGEO;Code géographique;Code géographique;21206;Auxonne;CHAR;5
CODGEO;Code géographique;Code géographique;21401;Beaune;CHAR;5
CODGEO;Code géographique;Code géographique;21701;Dijon;CHAR;5
CODGEO;Code géographique;Code géographique;22101;Quintin;CHAR;5
CODGEO;Code géographique;Code géographique;22102;Les Moulins;CHAR;5
CODGEO;Code géographique;Code géographique;22103;Merdrignac;CHAR;5
CODGEO;Code géographique;Code géographique;22104;Plouër-sur-Rance;CHAR;5
CODGEO;Code géographique;Code géographique;22105;Plouézec;CHAR;5
CODGEO;Code géographique;Code géographique;22106;Lanvollon;CHAR;5
CODGEO;Code géographique;Code géographique;22107;Pommeret;CHAR;5
CODGEO;Code géographique;Code géographique;22108;Châtelaudren-Plouagat;CHAR;5
CODGEO;Code géographique;Code géographique;22109;Plouaret;CHAR;5
CODGEO;Code géographique;Code géographique;22110;Rostrenen;CHAR;5
CODGEO;Code géographique;Code géographique;22111;Saint-Cast-le-Guildo;CHAR;5
CODGEO;Code géographique;Code géographique;22112;Pommerit-Jaudy;CHAR;5
CODGEO;Code géographique;Code géographique;22113;Trébeurden;CHAR;5
CODGEO;Code géographique;Code géographique;22114;Erquy;CHAR;5
CODGEO;Code géographique;Code géographique;22115;Pléneuf-Val-André;CHAR;5
CODGEO;Code géographique;Code géographique;22116;Hillion;CHAR;5
CODGEO;Code géographique;Code géographique;22117;Plouha;CHAR;5
CODGEO;Code géographique;Code géographique;22118;Bégard;CHAR;5
CODGEO;Code géographique;Code géographique;22119;Plancoët;CHAR;5
CODGEO;Code géographique;Code géographique;22201;Pordic;CHAR;5
CODGEO;Code géographique;Code géographique;22202;Plaintel;CHAR;5
CODGEO;Code géographique;Code géographique;22203;Plédran;CHAR;5
CODGEO;Code géographique;Code géographique;22204;Tréguier;CHAR;5
CODGEO;Code géographique;Code géographique;22205;Loudéac;CHAR;5
CODGEO;Code géographique;Code géographique;22301;Lamballe-Armor;CHAR;5
CODGEO;Code géographique;Code géographique;22302;Binic;CHAR;5
CODGEO;Code géographique;Code géographique;22303;Paimpol;CHAR;5
CODGEO;Code géographique;Code géographique;22401;Guingamp;CHAR;5
CODGEO;Code géographique;Code géographique;22402;Dinan;CHAR;5
CODGEO;Code géographique;Code géographique;22403;Lannion;CHAR;5
CODGEO;Code géographique;Code géographique;22501;Saint-Brieuc;CHAR;5
CODGEO;Code géographique;Code géographique;23101;Bourganeuf;CHAR;5
CODGEO;Code géographique;Code géographique;23102;Aubusson;CHAR;5
CODGEO;Code géographique;Code géographique;23201;La Souterraine;CHAR;5
CODGEO;Code géographique;Code géographique;23301;Guéret;CHAR;5
CODGEO;Code géographique;Code géographique;24101;Montcaret;CHAR;5
CODGEO;Code géographique;Code géographique;24102;Eymet;CHAR;5
CODGEO;Code géographique;Code géographique;24103;Le Bugue;CHAR;5
CODGEO;Code géographique;Code géographique;24104;Montignac;CHAR;5
CODGEO;Code géographique;Code géographique;24105;Le Lardin-Saint-Lazare;CHAR;5
CODGEO;Code géographique;Code géographique;24106;Neuvic;CHAR;5
CODGEO;Code géographique;Code géographique;24107;Razac-sur-l'Isle;CHAR;5
CODGEO;Code géographique;Code géographique;24108;Thiviers;CHAR;5
CODGEO;Code géographique;Code géographique;24109;Nontron;CHAR;5
CODGEO;Code géographique;Code géographique;24201;Lalinde;CHAR;5
CODGEO;Code géographique;Code géographique;24202;Ribérac;CHAR;5
CODGEO;Code géographique;Code géographique;24203;Saint-Astier;CHAR;5
CODGEO;Code géographique;Code géographique;24204;Mussidan;CHAR;5
CODGEO;Code géographique;Code géographique;24205;Sarlat-la-Canéda;CHAR;5
CODGEO;Code géographique;Code géographique;24501;Périgueux;CHAR;5
CODGEO;Code géographique;Code géographique;25101;Arcey;CHAR;5
CODGEO;Code géographique;Code géographique;25102;Colombier-Fontaine;CHAR;5
CODGEO;Code géographique;Code géographique;25103;Auxon-Dessous;CHAR;5
CODGEO;Code géographique;Code géographique;25104;Charquemont;CHAR;5
CODGEO;Code géographique;Code géographique;25105;Montferrand-le-Château;CHAR;5
CODGEO;Code géographique;Code géographique;25106;Montfaucon;CHAR;5
CODGEO;Code géographique;Code géographique;25107;Saône;CHAR;5
CODGEO;Code géographique;Code géographique;25108;L'Isle-sur-le-Doubs;CHAR;5
CODGEO;Code géographique;Code géographique;25109;Maîche;CHAR;5
CODGEO;Code géographique;Code géographique;25110;Ornans;CHAR;5
CODGEO;Code géographique;Code géographique;25111;Villers-le-Lac;CHAR;5
CODGEO;Code géographique;Code géographique;25112;Roche-lez-Beaupré;CHAR;5
CODGEO;Code géographique;Code géographique;25113;Saint-Vit;CHAR;5
CODGEO;Code géographique;Code géographique;25114;Valdahon;CHAR;5
CODGEO;Code géographique;Code géographique;25201;Baume-les-Dames;CHAR;5
CODGEO;Code géographique;Code géographique;25202;Pouilley-les-Vignes;CHAR;5
CODGEO;Code géographique;Code géographique;25203;Pont-de-Roide;CHAR;5
CODGEO;Code géographique;Code géographique;25204;Morteau;CHAR;5
CODGEO;Code géographique;Code géographique;25401;Pontarlier;CHAR;5
CODGEO;Code géographique;Code géographique;25601;Montbéliard;CHAR;5
CODGEO;Code géographique;Code géographique;25602;Besançon;CHAR;5
CODGEO;Code géographique;Code géographique;26101;Buis-les-Baronnies;CHAR;5
CODGEO;Code géographique;Code géographique;26102;Allex;CHAR;5
CODGEO;Code géographique;Code géographique;26103;Montélier;CHAR;5
CODGEO;Code géographique;Code géographique;26104;Saint-Donat-sur-l'Herbasse;CHAR;5
CODGEO;Code géographique;Code géographique;26105;Saint-Jean-en-Royans;CHAR;5
CODGEO;Code géographique;Code géographique;26106;Saint-Uze;CHAR;5
CODGEO;Code géographique;Code géographique;26107;Anneyron;CHAR;5
CODGEO;Code géographique;Code géographique;26108;Châteauneuf-du-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;26109;Dieulefit;CHAR;5
CODGEO;Code géographique;Code géographique;26110;Die;CHAR;5
CODGEO;Code géographique;Code géographique;26111;Donzère;CHAR;5
CODGEO;Code géographique;Code géographique;26201;Chabeuil;CHAR;5
CODGEO;Code géographique;Code géographique;26202;Nyons;CHAR;5
CODGEO;Code géographique;Code géographique;26203;Saint-Paul-Trois-Châteaux;CHAR;5
CODGEO;Code géographique;Code géographique;26204;Beaumont-lès-Valence;CHAR;5
CODGEO;Code géographique;Code géographique;26301;Pierrelatte;CHAR;5
CODGEO;Code géographique;Code géographique;26302;Crest;CHAR;5
CODGEO;Code géographique;Code géographique;26303;Livron-sur-Drôme;CHAR;5
CODGEO;Code géographique;Code géographique;26501;Romans-sur-Isère;CHAR;5
CODGEO;Code géographique;Code géographique;27101;La Couture-Boussey;CHAR;5
CODGEO;Code géographique;Code géographique;27102;Routot;CHAR;5
CODGEO;Code géographique;Code géographique;27103;Bourg-Achard;CHAR;5
CODGEO;Code géographique;Code géographique;27104;La Bonneville-sur-Iton;CHAR;5
CODGEO;Code géographique;Code géographique;27105;La Haye-Malherbe;CHAR;5
CODGEO;Code géographique;Code géographique;27106;La Saussaye;CHAR;5
CODGEO;Code géographique;Code géographique;27107;Pîtres;CHAR;5
CODGEO;Code géographique;Code géographique;27108;Saint-André-de-l'Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27109;Breteuil;CHAR;5
CODGEO;Code géographique;Code géographique;27110;Gasny;CHAR;5
CODGEO;Code géographique;Code géographique;27111;Étrépagny;CHAR;5
CODGEO;Code géographique;Code géographique;27112;Rugles;CHAR;5
CODGEO;Code géographique;Code géographique;27113;Romilly-sur-Andelle;CHAR;5
CODGEO;Code géographique;Code géographique;27114;Fleury-sur-Andelle;CHAR;5
CODGEO;Code géographique;Code géographique;27115;Brionne;CHAR;5
CODGEO;Code géographique;Code géographique;27201;Le Neubourg;CHAR;5
CODGEO;Code géographique;Code géographique;27202;Pont-de-l'Arche;CHAR;5
CODGEO;Code géographique;Code géographique;27203;Beaumont-le-Roger;CHAR;5
CODGEO;Code géographique;Code géographique;27204;Conches-en-Ouche;CHAR;5
CODGEO;Code géographique;Code géographique;27205;Verneuil-sur-Avre;CHAR;5
CODGEO;Code géographique;Code géographique;27206;Pacy-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;27207;Les Andelys;CHAR;5
CODGEO;Code géographique;Code géographique;27301;Bernay;CHAR;5
CODGEO;Code géographique;Code géographique;27302;Gaillon;CHAR;5
CODGEO;Code géographique;Code géographique;27303;Pont-Audemer;CHAR;5
CODGEO;Code géographique;Code géographique;27401;Vernon;CHAR;5
CODGEO;Code géographique;Code géographique;27402;Louviers;CHAR;5
CODGEO;Code géographique;Code géographique;27501;Évreux;CHAR;5
CODGEO;Code géographique;Code géographique;28101;Saint-Georges-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;28102;Châteauneuf-en-Thymerais;CHAR;5
CODGEO;Code géographique;Code géographique;28103;Toury;CHAR;5
CODGEO;Code géographique;Code géographique;28104;Courville-sur-Eure;CHAR;5
CODGEO;Code géographique;Code géographique;28105;Les Villages Vovéens;CHAR;5
CODGEO;Code géographique;Code géographique;28106;Illiers-Combray;CHAR;5
CODGEO;Code géographique;Code géographique;28107;Senonches;CHAR;5
CODGEO;Code géographique;Code géographique;28109;La Loupe;CHAR;5
CODGEO;Code géographique;Code géographique;28111;Jouy;CHAR;5
CODGEO;Code géographique;Code géographique;28112;Bonneval;CHAR;5
CODGEO;Code géographique;Code géographique;28201;Brou;CHAR;5
CODGEO;Code géographique;Code géographique;28202;Gallardon;CHAR;5
CODGEO;Code géographique;Code géographique;28203;Maintenon;CHAR;5
CODGEO;Code géographique;Code géographique;28204;Nogent-le-Roi;CHAR;5
CODGEO;Code géographique;Code géographique;28205;Auneau-Bleury-Saint-Symphorien;CHAR;5
CODGEO;Code géographique;Code géographique;28206;Cloyes-les-Trois-Rivières;CHAR;5
CODGEO;Code géographique;Code géographique;28301;Nogent-le-Rotrou;CHAR;5
CODGEO;Code géographique;Code géographique;28302;Châteaudun;CHAR;5
CODGEO;Code géographique;Code géographique;28401;Dreux;CHAR;5
CODGEO;Code géographique;Code géographique;28501;Chartres;CHAR;5
CODGEO;Code géographique;Code géographique;29101;Lampaul-Plouarzel;CHAR;5
CODGEO;Code géographique;Code géographique;29102;Kerlouan;CHAR;5
CODGEO;Code géographique;Code géographique;29103;Le Conquet;CHAR;5
CODGEO;Code géographique;Code géographique;29104;Camaret-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;29105;Saint-Thonan;CHAR;5
CODGEO;Code géographique;Code géographique;29106;Plozévet;CHAR;5
CODGEO;Code géographique;Code géographique;29107;Pont-Aven;CHAR;5
CODGEO;Code géographique;Code géographique;29108;Pleyber-Christ;CHAR;5
CODGEO;Code géographique;Code géographique;29109;Bourg-Blanc;CHAR;5
CODGEO;Code géographique;Code géographique;29110;Saint-Évarzec;CHAR;5
CODGEO;Code géographique;Code géographique;29111;Loperhet;CHAR;5
CODGEO;Code géographique;Code géographique;29112;Landéda;CHAR;5
CODGEO;Code géographique;Code géographique;29113;Plougonvelin;CHAR;5
CODGEO;Code géographique;Code géographique;29114;Plouvien;CHAR;5
CODGEO;Code géographique;Code géographique;29115;Pleyben;CHAR;5
CODGEO;Code géographique;Code géographique;29116;Châteauneuf-du-Faou;CHAR;5
CODGEO;Code géographique;Code géographique;29117;Pont-de-Buis-lès-Quimerch;CHAR;5
CODGEO;Code géographique;Code géographique;29118;Plouescat;CHAR;5
CODGEO;Code géographique;Code géographique;29119;Cléder;CHAR;5
CODGEO;Code géographique;Code géographique;29120;Plougasnou;CHAR;5
CODGEO;Code géographique;Code géographique;29121;Clohars-Carnoët;CHAR;5
CODGEO;Code géographique;Code géographique;29122;Riec-sur-Belon;CHAR;5
CODGEO;Code géographique;Code géographique;29123;Plouigneau;CHAR;5
CODGEO;Code géographique;Code géographique;29124;Carantec;CHAR;5
CODGEO;Code géographique;Code géographique;29125;Porspoder;CHAR;5
CODGEO;Code géographique;Code géographique;29126;Locmaria-Plouzané;CHAR;5
CODGEO;Code géographique;Code géographique;29201;Scaër;CHAR;5
CODGEO;Code géographique;Code géographique;29202;Bannalec;CHAR;5
CODGEO;Code géographique;Code géographique;29203;Plonéour-Lanvern;CHAR;5
CODGEO;Code géographique;Code géographique;29204;Châteaulin;CHAR;5
CODGEO;Code géographique;Code géographique;29205;Ploudalmézeau;CHAR;5
CODGEO;Code géographique;Code géographique;29206;Moëlan-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;29207;Rosporden;CHAR;5
CODGEO;Code géographique;Code géographique;29208;Briec;CHAR;5
CODGEO;Code géographique;Code géographique;29209;Guilers;CHAR;5
CODGEO;Code géographique;Code géographique;29210;Saint-Renan;CHAR;5
CODGEO;Code géographique;Code géographique;29211;Plabennec;CHAR;5
CODGEO;Code géographique;Code géographique;29212;Crozon;CHAR;5
CODGEO;Code géographique;Code géographique;29213;Plouhinec - Audierne;CHAR;5
CODGEO;Code géographique;Code géographique;29301;Landivisiau;CHAR;5
CODGEO;Code géographique;Code géographique;29302;Plouguerneau - Lannilis;CHAR;5
CODGEO;Code géographique;Code géographique;29303;Lesneven;CHAR;5
CODGEO;Code géographique;Code géographique;29304;Quimperlé;CHAR;5
CODGEO;Code géographique;Code géographique;29305;Saint-Pol-de-Léon;CHAR;5
CODGEO;Code géographique;Code géographique;29306;Pont-l'Abbé;CHAR;5
CODGEO;Code géographique;Code géographique;29307;Douarnenez;CHAR;5
CODGEO;Code géographique;Code géographique;29308;Landerneau;CHAR;5
CODGEO;Code géographique;Code géographique;29401;Penmarch;CHAR;5
CODGEO;Code géographique;Code géographique;29402;Fouesnant;CHAR;5
CODGEO;Code géographique;Code géographique;29403;Morlaix;CHAR;5
CODGEO;Code géographique;Code géographique;29404;Concarneau;CHAR;5
CODGEO;Code géographique;Code géographique;29501;Quimper;CHAR;5
CODGEO;Code géographique;Code géographique;29701;Brest;CHAR;5
CODGEO;Code géographique;Code géographique;2A101;Bonifacio;CHAR;5
CODGEO;Code géographique;Code géographique;2A102;Sartène;CHAR;5
CODGEO;Code géographique;Code géographique;2A103;Bastelicaccia;CHAR;5
CODGEO;Code géographique;Code géographique;2A104;Propriano;CHAR;5
CODGEO;Code géographique;Code géographique;2A105;Afa;CHAR;5
CODGEO;Code géographique;Code géographique;2A301;Porto-Vecchio;CHAR;5
CODGEO;Code géographique;Code géographique;2A501;Ajaccio;CHAR;5
CODGEO;Code géographique;Code géographique;2B101;Prunelli-di-Fiumorbo;CHAR;5
CODGEO;Code géographique;Code géographique;2B102;Ghisonaccia;CHAR;5
CODGEO;Code géographique;Code géographique;2B103;L'Île-Rousse;CHAR;5
CODGEO;Code géographique;Code géographique;2B201;Calvi;CHAR;5
CODGEO;Code géographique;Code géographique;2B202;Penta-di-Casinca;CHAR;5
CODGEO;Code géographique;Code géographique;2B203;Corte;CHAR;5
CODGEO;Code géographique;Code géographique;2B301;Borgo;CHAR;5
CODGEO;Code géographique;Code géographique;2B501;Bastia;CHAR;5
CODGEO;Code géographique;Code géographique;30101;Bezouce;CHAR;5
CODGEO;Code géographique;Code géographique;30102;Saint-Laurent-des-Arbres;CHAR;5
CODGEO;Code géographique;Code géographique;30103;Aubord;CHAR;5
CODGEO;Code géographique;Code géographique;30104;Le Cailar;CHAR;5
CODGEO;Code géographique;Code géographique;30105;Connaux;CHAR;5
CODGEO;Code géographique;Code géographique;30106;Saint-Jean-du-Gard;CHAR;5
CODGEO;Code géographique;Code géographique;30107;Quissac;CHAR;5
CODGEO;Code géographique;Code géographique;30108;Saint-Gervasy;CHAR;5
CODGEO;Code géographique;Code géographique;30109;Jonquières-Saint-Vincent;CHAR;5
CODGEO;Code géographique;Code géographique;30110;Saint-Geniès-de-Malgoirès;CHAR;5
CODGEO;Code géographique;Code géographique;30111;Saint-Quentin-la-Poterie;CHAR;5
CODGEO;Code géographique;Code géographique;30112;Saint-Laurent-d'Aigouze;CHAR;5
CODGEO;Code géographique;Code géographique;30113;Beauvoisin;CHAR;5
CODGEO;Code géographique;Code géographique;30114;Clarensac;CHAR;5
CODGEO;Code géographique;Code géographique;30115;Générac;CHAR;5
CODGEO;Code géographique;Code géographique;30116;Saint-Hippolyte-du-Fort;CHAR;5
CODGEO;Code géographique;Code géographique;30117;Aramon;CHAR;5
CODGEO;Code géographique;Code géographique;30118;Poulx;CHAR;5
CODGEO;Code géographique;Code géographique;30119;Aimargues;CHAR;5
CODGEO;Code géographique;Code géographique;30120;Garons;CHAR;5
CODGEO;Code géographique;Code géographique;30121;Calvisson;CHAR;5
CODGEO;Code géographique;Code géographique;30122;Langlade;CHAR;5
CODGEO;Code géographique;Code géographique;30123;Remoulins;CHAR;5
CODGEO;Code géographique;Code géographique;30124;Bessèges;CHAR;5
CODGEO;Code géographique;Code géographique;30201;Roquemaure;CHAR;5
CODGEO;Code géographique;Code géographique;30202;Laudun-l'Ardoise;CHAR;5
CODGEO;Code géographique;Code géographique;30203;Bouillargues;CHAR;5
CODGEO;Code géographique;Code géographique;30204;Pujaut;CHAR;5
CODGEO;Code géographique;Code géographique;30205;Bellegarde;CHAR;5
CODGEO;Code géographique;Code géographique;30206;Montfrin;CHAR;5
CODGEO;Code géographique;Code géographique;30207;Rochefort-du-Gard;CHAR;5
CODGEO;Code géographique;Code géographique;30208;Sommières;CHAR;5
CODGEO;Code géographique;Code géographique;30209;Le Vigan;CHAR;5
CODGEO;Code géographique;Code géographique;30210;Aigues-Mortes;CHAR;5
CODGEO;Code géographique;Code géographique;30211;Vergèze;CHAR;5
CODGEO;Code géographique;Code géographique;30212;Manduel;CHAR;5
CODGEO;Code géographique;Code géographique;30213;La Grand-Combe;CHAR;5
CODGEO;Code géographique;Code géographique;30301;Uzès;CHAR;5
CODGEO;Code géographique;Code géographique;30302;Vauvert;CHAR;5
CODGEO;Code géographique;Code géographique;30303;Saint-Gilles;CHAR;5
CODGEO;Code géographique;Code géographique;30304;Pont-Saint-Esprit;CHAR;5
CODGEO;Code géographique;Code géographique;30401;Bagnols-sur-Cèze;CHAR;5
CODGEO;Code géographique;Code géographique;30501;Alès;CHAR;5
CODGEO;Code géographique;Code géographique;30601;Nîmes;CHAR;5
CODGEO;Code géographique;Code géographique;31101;Boussens;CHAR;5
CODGEO;Code géographique;Code géographique;31102;Rieux;CHAR;5
CODGEO;Code géographique;Code géographique;31103;Bérat;CHAR;5
CODGEO;Code géographique;Code géographique;31104;Lavernose-Lacasse;CHAR;5
CODGEO;Code géographique;Code géographique;31105;Montesquieu-Volvestre;CHAR;5
CODGEO;Code géographique;Code géographique;31106;Salies-du-Salat;CHAR;5
CODGEO;Code géographique;Code géographique;31107;Noé;CHAR;5
CODGEO;Code géographique;Code géographique;31108;Verfeil;CHAR;5
CODGEO;Code géographique;Code géographique;31109;Bessières;CHAR;5
CODGEO;Code géographique;Code géographique;31110;Baziège;CHAR;5
CODGEO;Code géographique;Code géographique;31111;Lherm;CHAR;5
CODGEO;Code géographique;Code géographique;31112;Rieumes;CHAR;5
CODGEO;Code géographique;Code géographique;31113;Bagnères-de-Luchon;CHAR;5
CODGEO;Code géographique;Code géographique;31114;Villefranche-de-Lauragais;CHAR;5
CODGEO;Code géographique;Code géographique;31115;Merville;CHAR;5
CODGEO;Code géographique;Code géographique;31116;Montastruc-la-Conseillère;CHAR;5
CODGEO;Code géographique;Code géographique;31117;Bouloc;CHAR;5
CODGEO;Code géographique;Code géographique;31201;Villemur-sur-Tarn;CHAR;5
CODGEO;Code géographique;Code géographique;31202;Fronton;CHAR;5
CODGEO;Code géographique;Code géographique;31203;Cazères;CHAR;5
CODGEO;Code géographique;Code géographique;31204;Carbonne;CHAR;5
CODGEO;Code géographique;Code géographique;31205;Grenade;CHAR;5
CODGEO;Code géographique;Code géographique;31206;Venerque;CHAR;5
CODGEO;Code géographique;Code géographique;31207;Saint-Lys;CHAR;5
CODGEO;Code géographique;Code géographique;31208;Auterive;CHAR;5
CODGEO;Code géographique;Code géographique;31209;Revel;CHAR;5
CODGEO;Code géographique;Code géographique;31301;Fonsorbes;CHAR;5
CODGEO;Code géographique;Code géographique;31302;Saint-Gaudens;CHAR;5
CODGEO;Code géographique;Code géographique;31701;Toulouse;CHAR;5
