libelle
Socialistes et apparentés
Gauche Démocrate et Républicaine
"Libertés, Indépendants, Outre-mer et Territoires"
Les Démocrates
Écologiste et Social
Ensemble pour la République
Droite Républicaine
Horizons & Indépendants
La France insoumise - Nouveau Front Populaire
Rassemblement National
Union des droites pour la République
