CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
29114;1498;3919;21070;51.3;6.8;;;;;;;;;79.1;70.3;3;5.8;22.5;8.5;4.5;2.8;1;0.7;-14.6;13750;32070;2.3
29115;1572;3506;19570;38.8;12.4;;;;;;;8.3;27;68;55.1;3.3;9.6;31.2;8.3;5.4;2.7;1.6;1.1;-12.9;11910;30350;2.5
29116;1660;3483;19500;41.3;13.8;;;;;;;9;30.5;60.5;51.2;3.5;5.8;39;8.5;5.3;2.2;1.9;1.2;-13.3;11790;30160;2.6
29117;1665;3701;19850;41.4;11;;;;;;;7.3;;69.6;61.2;4.2;4.2;31.2;5.9;5.8;3;1.7;1.1;-12.5;12310;29480;2.4
29118;1612;3357;19990;44;10.9;;;;;;;8.1;;57.8;45.1;2.8;9.9;41.9;9.7;4.5;1.7;1.8;1;-13.9;12420;32990;2.7
29119;1713;3797;20240;44.8;10.4;;;;;;;8.2;;66.8;51.5;3;12.3;33.8;8.7;4.4;2.1;1.5;0.8;-13.7;12590;32970;2.6
29120;1914;3808;21680;53.2;10.9;;;;;;;8.8;;48.1;36.2;2.5;9.4;55;10;2.9;1.1;1.2;0.6;-16;12320;37580;3.1
29121;2237;4798;22500;54;8.1;;;;;;;5.8;;57.4;47;2.8;7.6;44.7;12.5;3;1.4;1;0.6;-17.6;13220;38680;2.9
29122;1998;4308;21700;50.7;8.3;;;;;;;5.8;;58.9;47.6;2.7;8.6;41.8;11;3.3;1.4;1.2;0.7;-15;13140;35830;2.7
29123;2159;5173;21010;48.2;10.1;;;;;;;5.9;25.7;69;57.8;2.5;8.7;32.3;7.5;5.2;2.6;1.6;1;-14;12650;31760;2.5
29124;2257;4678;23490;57.8;7.8;;;;;;;5.8;;58;47.3;2.5;8.2;45.5;13.1;2.7;1.2;0.9;0.6;-19.3;13700;43330;3.2
29125;2372;5219;23000;55.1;7.6;;;;;;;5.4;;60;48;2.4;9.6;43.8;10.1;3.1;1.6;1;0.5;-17;13630;39680;2.9
29126;2002;5310;24520;65.1;5;;;;;;;;;77.5;68.8;2.9;5.8;29.5;7;3.2;2;0.7;0.5;-17.2;14980;39180;2.6
29201;2468;5273;19770;41.6;11.9;;;;;;;9.3;27.7;61.6;51.7;2.8;7.1;38;7;5.8;2.4;2.4;1;-12.4;11990;28740;2.4
29202;2467;5628;19810;44;10;;;;;;;7.2;22.8;66.2;56.4;3.6;6.2;33.6;8.2;5.2;2.5;1.7;1;-13.2;12650;30770;2.4
29203;2629;6120;20740;46.6;9.3;;;;;;;6.7;21.7;68.2;59;2.8;6.4;31.8;9.5;4.8;2.2;1.7;0.9;-14.3;12940;33410;2.6
29204;2430;5196;19830;43.3;13.8;;;14.8;;;;7.3;24.6;68.4;60.3;3.1;5;31.2;7.8;7.1;2.7;2.6;1.8;-14.5;11870;31490;2.7
29205;2713;6369;21690;49.9;7.2;;;;;;;5;23.7;65.6;55.3;2.7;7.6;37.8;7.9;4.2;2.4;1.1;0.7;-15.5;13600;34030;2.5
29206;3369;7082;21920;52.8;9.4;;;;;;;6.8;23.1;51.7;43.2;2.8;5.7;50.8;9.4;3.3;1.5;1.2;0.6;-15.2;12860;36300;2.8
29207;3355;7327;19820;43.1;10.3;;;13.8;;;;6.9;23.4;67.1;60.2;3.3;3.6;33.6;6.9;5.5;2.4;1.9;1.2;-13.1;12560;29660;2.4
29208;3155;7763;20160;43;9.2;;;;;;;6.1;19.9;74;65.2;3.1;5.7;25.8;7.2;6.1;3.2;1.7;1.2;-13.1;12910;30040;2.3
29209;3126;7793;22210;56.3;5.8;;;;;;;;19;71.5;63.9;2.8;4.8;33.8;6.4;4.2;2.4;1;0.8;-15.9;14580;34310;2.4
29210;3312;8044;22460;55.5;5;;;;;;;;13.7;75.3;66.2;2.7;6.4;29.4;7.1;4.3;2.4;1.1;0.8;-16.1;14680;34340;2.3
29211;3360;8304;21850;53.1;6;;;;;;;5;14.3;75;66.4;2.5;6.1;28.3;7.3;4.4;2.6;1.1;0.7;-15;14020;33020;2.4
29212;3752;7615;20890;50.5;11.1;;;;14.9;;;7.5;22.2;53;44.6;3.2;5.2;48.1;10.3;3.8;1.6;1.4;0.8;-15.2;12300;34690;2.8
29213;3920;7435;20380;46.2;11.6;;;18.9;15.6;;;8.5;25.9;44.6;35.5;2.8;6.3;55.8;10.7;3.5;1.3;1.5;0.7;-14.6;12190;34730;2.8
29301;4842;10959;19970;43.9;11.3;;13.7;11.9;10.6;;;6.6;23;71.3;61.3;3.3;6.7;28.9;7.9;6.3;2.7;2.2;1.4;-14.4;12270;32020;2.6
29302;5424;12570;20960;47.3;8.3;;;9.4;10.4;;;5.7;20.3;66.8;57.2;3.2;6.4;35;7.7;4.7;2.5;1.3;0.9;-14.2;13270;33340;2.5
29303;5638;12970;20760;44.6;8.8;;10.5;8.9;9.6;;;5.5;21.1;68.2;59.6;3;5.6;32.7;8.1;5.2;2.5;1.7;1;-14.2;13000;32440;2.5
29304;6476;13975;20550;46.5;10.8;;12.3;12;11.6;7.6;;5.6;24.6;67.5;59.8;3.3;4.4;34;7.2;5.7;2.3;2;1.4;-14.4;12380;31840;2.6
29305;6127;12511;20980;49.3;10.9;;;13.6;12.7;7.3;;7;22.7;58.9;48.3;2.6;8;42.3;10.4;4.1;1.5;1.6;1;-15.7;12380;36200;2.9
29306;7027;14469;21900;52.5;9;;;12.3;9.9;5.7;;5.4;20.5;62.3;53.1;3;6.2;39.9;10.3;3.9;1.5;1.4;1;-16.4;13030;37560;2.9
29307;7414;13932;20000;44.5;13.9;;16.2;21.5;14.8;8.1;;7.3;29;55.9;46.9;3.7;5.3;44.2;9.3;5.6;1.5;2.6;1.5;-15;11560;32780;2.8
29308;7668;17098;21450;49.8;8.7;18.4;8.4;9.2;9.1;;;5;20.9;73.6;65.3;3.1;5.2;30.3;6.6;5.2;2.3;1.7;1.2;-15.7;13120;34180;2.6
29401;11366;23425;21560;51.1;9.1;;11.4;11.5;11.3;5.6;7.4;6.4;22.8;52.1;42.4;2.8;6.9;48.4;11.5;3.2;1.3;1.2;0.7;-15.2;12990;36330;2.8
29402;11837;25772;23810;60.4;7;;8;8.1;8.2;5;6.6;5;15.1;59.7;49.8;2.7;7.2;42.4;13.6;2.6;1.2;0.9;0.5;-18.3;14020;42170;3
29403;12299;24386;20160;45.4;14.6;29.5;20.4;17.7;14.9;7.8;;6.1;32.7;61.5;52;3.3;6.2;38.3;8.6;6.9;2;3.1;1.8;-15.3;11240;33640;3
29404;13718;27526;21610;51.5;10.2;;14;13.2;12;6.1;6;5.5;22.3;57.1;48.5;3.1;5.5;42.6;12.3;4.3;1.5;1.7;1.1;-16.3;12590;37460;3
29501;37359;76315;21060;51.1;11.7;20.4;14.4;13.8;12.6;6.4;5.5;5;25.3;69.1;60.5;3.1;5.5;33;8.6;5.7;1.9;2.3;1.5;-16.4;12070;35510;2.9
29701;88540;183723;20960;50.2;13.5;25.7;16.4;14.7;12.1;7.3;6.3;5;28.8;72.1;63.8;3.3;5;30.3;7.5;6.7;2.2;2.6;1.9;-16.6;11520;36120;3.1
2A101;1283;3002;19340;46.4;18.8;;;;;;;;26.4;71.6;52.3;4.6;14.7;26.9;15.3;4.4;1.9;1.6;0.9;-18.2;10510;37350;3.6
2A102;1270;2688;18800;42.5;24;;;;;;;;36;65.6;53.8;3.7;8.1;33.5;8.5;6.8;1.9;3.2;1.7;-14.4;9070;32960;3.6
2A103;1305;3201;23460;60.4;9.6;;;;;;;;;74.3;65.5;2.8;6;30.1;11;2.9;1.2;1.2;0.5;-18.3;12780;41570;3.3
2A104;1648;3541;19210;45.8;21;;;24.6;;;;13.3;27.4;67.2;54.7;4.3;8.2;29.6;12.5;6.9;2;3.1;1.8;-16.2;10030;34560;3.4
2A105;1678;4215;24460;63.5;8;;;;;;;6.6;;78.9;68.8;2.7;7.4;28.2;9.8;2.5;1;1.1;0.4;-19.4;13560;40770;3
2A301;5383;12651;18730;47.9;22.1;;24.2;22.7;23.6;20.8;18;11;31.4;72.2;58.1;3.9;10.2;24.8;16.3;5.9;2.1;2.3;1.5;-19.2;9750;35890;3.7
2A501;24157;49014;20940;53.8;15.5;21.6;16.8;16.1;15.8;13.7;14.1;7.1;22.9;72.2;62.5;2.5;7.2;30;10.8;5.7;1.4;2.8;1.5;-18.7;11010;38810;3.5
2B101;1430;3228;17750;39.2;23.2;;;28.5;;;;13.5;35.9;61.7;50.1;4;7.6;33.9;9.8;8.2;2.5;3.6;2.1;-13.6;9380;32560;3.5
2B102;1384;3236;17890;40.3;24.7;;;29.6;;;;;38.9;68.7;54.1;3;11.6;30.6;9.7;7.4;2.2;3.2;2;-16.4;8840;34630;3.9
2B103;2275;4743;18370;45.2;22.9;;;29.4;25.5;;;11.1;33.7;64.3;49.5;3.8;11;34.2;13.5;5.5;1.5;2.3;1.7;-17.5;9500;35890;3.8
2B201;2511;5365;18430;42.8;21.6;;19.5;21.7;24.3;24.4;;;28.2;70;53.2;4.7;12.1;26.1;14.1;6.5;2.1;2.6;1.8;-16.7;9070;33680;3.7
2B202;2958;6333;18100;38.9;23.5;;27;27.8;24.1;17;;14.3;36.7;63;50.5;3.8;8.7;35.1;8.8;7.5;1.9;3.6;2;-14.4;9790;31950;3.3
2B203;2367;4872;19190;44.7;20;;;20.6;;;;10.2;29.2;71.6;60.3;2.6;8.7;27.4;10.4;6.7;1.8;2.9;2;-16.1;9690;33860;3.5
2B301;7499;17401;19160;43.3;20.2;23.9;21.2;19.7;19.3;19;21.9;13;31.1;76.6;65.8;3.2;7.6;24.5;8.2;7;2.1;3.1;1.8;-16.3;10100;33850;3.3
2B501;24951;51848;20070;47.6;18.6;26.5;22.5;20.7;17.4;14.4;18.4;9.2;29.3;71.5;59.7;2.5;9.3;29.1;10.7;6.8;1.5;3.5;1.8;-18.1;10230;38000;3.7
30101;970;2292;20250;47.1;13;;;;;;;;;69.1;60.9;3.5;4.7;30.9;8.2;5.4;2.2;2;1.2;-13.6;11470;33480;2.9
30102;1111;2892;22890;57.2;9.5;;;;;;;;;81.4;73.8;3.2;4.4;22.7;8.6;4;2.3;1;0.7;-16.7;12890;37390;2.9
30103;905;2396;21960;54.6;10.4;;;;;;;;;73.1;65.4;3.3;4.4;29.2;9;4.3;2;1.4;0.9;-15.6;12580;36110;2.9
30104;1044;2495;21390;47.9;10.2;;;;;;;;;70;59.7;3.9;6.4;31.1;9.5;4.1;1.6;1.7;0.8;-14.7;12610;34380;2.7
30105;1157;2812;21950;53.9;9.1;;;;;;;;;74.3;67.6;3;3.7;29.5;7.5;4.1;2;1.3;0.8;-15.4;12930;34740;2.7
30106;1182;2390;17210;33.2;24.8;;;;;;;;40.8;51.9;42.6;4.2;5.1;40.8;11.8;8.4;1.9;4;2.5;-12.9;9390;31470;3.4
30107;1462;3367;19420;38.2;17.5;;;;;;;9.7;33.6;63.9;53.4;4.4;6.1;33.7;9.3;6.8;2.5;2.6;1.7;-13.7;10370;32180;3.1
30108;1349;3530;20800;46.9;12.9;;;;;;;11.2;;74.5;64.9;3.6;6;25.6;8.8;5.7;2.7;2;1;-14.6;11530;32640;2.8
30109;1454;3814;18880;41.8;18.4;;;;;;;11.7;30.7;70.8;58.7;3.8;8.3;28.5;8.8;6.9;3.1;2.1;1.7;-15;10530;31420;3
30110;1402;3476;18980;40.3;19.8;;;25.9;;;;9.9;37.3;74.4;65.8;4;4.6;25.1;6.4;7.3;2.9;2.6;1.8;-13.2;10070;32180;3.2
30111;1507;3276;20030;45.6;16.6;;;;;;;12.8;27.1;58;47.4;3.5;7.1;40.9;12;4.8;1.7;2;1.1;-15.7;10620;34510;3.2
30112;1627;3707;20760;48.8;13.1;;;;;;;9.1;22.4;71.4;60;3.7;7.7;29.6;10.3;4.4;1.7;1.7;1;-15.7;11570;35040;3
30113;1982;5179;20860;46.6;11.2;;;;;;;7.7;21.9;80;71.3;4.2;4.5;22.6;6.5;5.4;2.9;1.4;1.1;-14.5;12250;33210;2.7
30114;1652;4289;22940;56.9;9.4;;;;;;;;25.5;77;68.4;2.8;5.8;28.3;7.2;3.9;2.1;1.1;0.7;-16.4;13060;36820;2.8
30115;1683;4109;21120;50.7;13.2;;;;;;;9;22.3;72.2;61;3.7;7.5;29.2;9.5;4.6;2.2;1.4;1;-15.5;11850;34410;2.9
30116;1704;3513;17670;35.5;22.5;;;26.6;;;;13;38.8;55.1;45.1;3.7;6.3;39.2;10.3;8.3;2.2;3.7;2.4;-12.9;9730;30330;3.1
30117;1760;4116;20900;51.9;15.9;;;;;;;;28.7;71.7;63.5;3.2;5;30;8.5;5.6;2.2;1.9;1.5;-15.8;10960;36210;3.3
30118;1606;4171;25220;64.7;6;;;;;;;;;76.4;67;2.9;6.5;29.7;8.7;2.7;1.4;0.8;0.5;-17.5;15480;41230;2.7
30119;2220;5618;20280;44.9;13.1;;14.4;;;;;8;24;75;67.4;3.9;3.7;23.9;10.6;6.1;2.8;2;1.3;-15.6;11710;32280;2.8
30120;1850;4884;20510;47.2;14.3;;;16.5;;;;8.3;27.6;74.8;65.1;3.7;6;26.7;7.3;6.1;2.8;2.1;1.2;-14.9;11390;33090;2.9
30121;2330;5748;22820;54.3;10.9;;;13;;;;5.8;22.9;76.4;67.3;3.2;5.9;26.8;8.6;4.6;2.1;1.4;1.1;-16.4;12310;36930;3
30122;2013;5123;25130;63.3;6.7;;;;;;;;;72.7;63.1;3;6.6;32.9;9.9;2.8;1.4;0.9;0.5;-18.3;14360;42790;3
30123;2036;4833;19100;39.6;17.5;;;19.8;;;;9.6;31.5;71.2;63;4.2;4;26.3;8.3;7.3;2.8;2.6;1.9;-13.1;10690;31400;2.9
30124;1987;3790;16560;27.6;28;;;39.4;36.7;;;18.2;41.8;44.1;35.7;4.3;4.1;49.1;7.6;10;2.1;4.9;3;-10.8;9110;27280;3
30201;2275;5385;19180;41.9;19.1;;24.5;19.3;;19.4;;12.1;33.1;70.2;60;4.2;6;28.3;9.1;6.9;2.8;2.3;1.8;-14.5;10170;31630;3.1
30202;2345;5784;20590;49.1;12.8;;19.4;;;;;5.7;28.9;76.7;68.8;3.1;4.8;25.3;7.3;5.7;2.7;1.7;1.3;-15;11620;33920;2.9
30203;2568;6435;21820;55.7;11.1;;;13.4;;;;7.3;21.8;73.1;62.3;2.9;7.9;29.9;9.2;4.5;2.1;1.5;0.9;-16.7;12140;37640;3.1
30204;2521;6271;24060;60.2;8.7;;;;;;;5.9;17.8;77.6;63.5;3.2;10.9;26.7;11.7;3.1;1.5;1;0.6;-19.1;13250;43680;3.3
30205;2780;7003;19930;44.7;15.5;;14.6;18.5;;;;9.2;29.6;73.8;64.1;3.8;5.9;26.2;8;6.3;2.7;2.1;1.5;-14.3;11350;32930;2.9
30206;2931;7237;19940;43.6;15.5;;17.4;14.6;;15.5;;9.2;31.3;72.4;62.3;4;6.1;27.6;8.8;5.8;2.3;2.3;1.2;-14.6;10530;32330;3.1
30207;3001;7927;23000;57.3;9.2;;;10.8;;;;6.4;20.1;79.1;69.4;3.5;6.2;25.3;8.9;4;2;1.2;0.8;-17.3;13070;38670;3
30208;3303;7536;19070;41.7;22.3;;27.4;25.6;21.8;15.4;;10.9;40.3;65.3;56.3;4.4;4.6;31.3;11.2;8.1;2.5;3.4;2.2;-15.9;9630;34700;3.6
30209;3362;6802;17650;35.4;23.8;;31.3;31.5;28.8;14.9;;14.9;39.9;51.5;42.5;3.6;5.4;42.6;9.3;9;2.2;4.3;2.5;-12.4;9540;29990;3.1
30210;3961;8891;20530;48.8;15;;17.3;15.6;17;13;;8.2;25.6;65.5;53.7;4;7.8;33.2;12.8;5.1;1.8;2;1.3;-16.6;11510;35450;3.1
30211;3761;9398;21640;52.4;9.9;;11.4;10.5;10.6;;;5.8;21.1;76.2;67.6;3.4;5.2;26.6;7.8;4.6;2.2;1.5;0.9;-15.2;12680;35460;2.8
30212;4354;11127;20390;47;13.5;;14.8;16.7;11.1;10.4;;8.3;26.4;70.8;61.4;3.5;5.9;30.3;7.4;5.8;2.6;1.9;1.3;-14.3;11540;33090;2.9
30213;3980;8245;15630;24.9;32.2;;47.6;44.1;34.7;18.8;18;16.8;48.8;44;37.3;4.2;2.5;46.3;6.1;13.4;3.2;6.6;3.6;-9.8;8850;26190;3
30301;5716;11711;19270;45.7;20.3;;27.5;27.1;22;14.2;12;10.3;33.2;51.7;43.2;3.4;5.1;43.8;14.3;6.7;1.7;3.1;1.9;-16.5;9830;37330;3.8
30302;4849;11581;18420;39.2;22.4;;21.8;27.7;26.2;17.1;;9.5;39;65.1;56.5;4.2;4.4;32.6;7.6;8.5;3;3.2;2.3;-13.8;9960;29940;3
30303;5672;14059;16610;31;27.4;30.9;28.4;29;29.1;25.7;19.9;13;44.6;64.7;54.4;5.2;5.1;30;7.3;10.8;3.8;4.2;2.8;-12.8;9160;28660;3.1
30304;6755;15406;19450;45.4;19;27;19.5;23.5;17.8;15.6;14.3;10.4;35.3;67.5;59.1;3.6;4.8;32.4;7.9;7.1;2.5;2.8;1.8;-14.9;10390;33650;3.2
30401;9965;21968;18650;43.4;22.8;31.3;29.5;30.3;21.5;17.2;10.7;6.6;40.3;63;54.8;3.3;4.9;34.6;8.5;8.8;2.8;3.5;2.5;-14.9;9600;33780;3.5
30501;43479;93546;18300;38.8;21.8;34.6;27.7;27.8;23.9;14;11;10.2;38.2;57.3;48.2;3.7;5.4;38.1;9.9;8.8;2.4;4;2.4;-14.1;9810;31930;3.3
30601;79601;173200;18250;42.7;25;34;31.3;30.5;24.8;18.6;11.1;8.5;40.1;64.4;54.7;3.7;6;32.1;9.8;10;2.8;4.2;3;-16.3;9300;34980;3.8
31101;991;2230;20270;46.9;14.5;;;;;;;;;65.6;58.1;3.6;3.9;35.7;6.4;5.2;2.1;1.8;1.3;-12.9;11620;31350;2.7
31102;1100;2637;20420;44.8;11.1;;;;;;;;;69.2;59.3;3.7;6.2;30;8.5;6.5;2.7;2.5;1.3;-14.2;11890;32380;2.7
31103;1094;3042;21580;49.3;8.4;;;;;;;;;82.6;73.2;3.6;5.8;20;6.2;5.4;3.1;1.3;1;-14.2;13060;33560;2.6
31104;1260;3373;23470;56.3;6.5;;;;;;;;;82.5;75.1;3.1;4.3;21.2;7.1;4.1;2.2;1.1;0.8;-14.9;13950;35860;2.6
31105;1390;3062;19610;39.6;17.5;;;;;;;10;33.1;63.1;55.5;3.2;4.4;33.6;9.7;7;2.3;3;1.7;-13.4;10820;31270;2.9
31106;1332;2471;19530;41.2;16.6;;;;;;;;30.1;51.7;41.5;2.9;7.3;45.8;9.2;6.8;1.4;3.5;1.9;-13.5;10640;32510;3.1
31107;1379;3601;21370;48.8;9.7;;;;;;;;;78.9;71.2;3.8;3.9;22.9;7;5.3;2.7;1.6;1;-14.1;12860;33740;2.6
31108;1413;3676;24130;58.1;6.7;;;;;;;;;82.3;75.3;2.7;4.3;20.8;10;3.5;1.9;0.9;0.7;-16.6;14400;38320;2.7
31109;1640;3997;21180;46.4;11.1;;;;;;;;22.7;77.1;69.3;2.9;4.9;23.1;8.3;5.7;2.9;1.6;1.2;-14.2;12390;33740;2.7
31110;1300;3387;22700;57.6;7.1;;;;;;;;;81.6;74.5;3.1;4;22.2;7.6;4.1;2.3;1.1;0.7;-15.5;13870;35620;2.6
31111;1418;3717;22880;54.1;8.8;;;;;;;;;81.5;73.5;4.1;3.9;22.6;6.4;4.4;2.3;1.3;0.8;-14.9;13240;35010;2.6
31112;1464;3352;20930;47.2;10.4;;;;;;;;20.1;69.8;62.9;3;3.9;30;8.4;6;2.5;2.1;1.4;-14.2;12530;33590;2.7
31113;2114;3810;20290;47.5;13.2;;;;;;;;20.8;52.4;42.2;3.4;6.8;45.2;13.3;4.4;1.1;2;1.3;-15.3;11470;34100;3
31114;2217;5320;21630;48.6;8.9;;;;;;;;17.7;77.8;70.7;2.7;4.4;24;8.7;5;2.5;1.5;1;-15.5;12990;35760;2.8
31115;2292;5965;23200;58.6;9.2;;;;;;;;18.4;87.9;80.5;3.1;4.3;16.7;7.5;4.8;2.6;1.2;1;-16.9;13010;38240;2.9
31116;2069;5441;25560;63.2;6.5;;;;;;;5;;82.5;73.8;2.9;5.8;21.8;10.7;3.3;1.8;0.9;0.6;-18.3;14470;42440;2.9
31117;2359;6274;24270;59.3;8.2;;;;;;;5;22.5;85;77.2;3.1;4.7;20;8.2;3.9;2;1.2;0.7;-17.1;13510;39630;2.9
31201;2653;5985;19990;43;14.7;;;17.5;;;;8.7;26.2;69.4;62.2;3.4;3.8;30.7;7.4;6.2;2.6;2.1;1.5;-13.7;11440;31600;2.8
31202;2387;6078;22420;52.2;8.9;;;;;;;5.1;21.4;72.1;64.8;2.3;5;20.1;17.7;4.3;2.1;1.3;0.9;-14.2;13040;35640;2.7
31203;2755;6054;18760;39.5;17.8;;22.4;22.1;;;;8.7;31.4;63.3;54.1;3.5;5.7;33.9;8.5;8.3;2.9;3.3;2.1;-14;10520;32940;3.1
31204;2870;6825;20720;44.9;13.7;;;14.3;;;;7;28;71.5;62.5;3.3;5.7;27.9;9.1;6.1;2.3;2.3;1.5;-14.6;11550;33320;2.9
31205;3684;8680;21940;51.8;11.1;;;11.2;;;;5;21;81.6;74.1;3;4.5;21.4;7.1;5.3;2.4;1.7;1.2;-15.4;12270;35570;2.9
31206;3794;9599;23400;59.8;7.2;;;;;;;5;17.6;79.5;71.5;3;5;24.2;9.7;3.7;1.9;1.1;0.7;-17.1;13910;37800;2.7
31207;3774;9408;22180;53.2;8;;;8;;;;;18.5;82.1;75.6;3.1;3.4;22.2;6.2;5.1;2.4;1.6;1.1;-15.6;13370;35010;2.6
31208;4295;10033;20310;45.5;13.3;;16;14.3;11.3;;;5.9;25.5;74.1;66.4;3.6;4.1;25.9;7.5;6.9;2.8;2.4;1.7;-14.4;11740;32520;2.8
31209;4534;9538;19060;42;17.2;;21.6;20.3;18.2;11.3;13.7;8.1;30.2;58.1;49.1;3.2;5.8;38.6;11;6.8;2.1;2.8;1.9;-14.5;10610;33540;3.2
31301;6904;18927;24540;62.9;6.4;;7.1;6.1;5.8;;;5;17.7;89.3;83.3;2.8;3.2;17.1;6.6;4.5;2.3;1.3;0.9;-17.5;14120;39460;2.8
31302;7679;15383;18970;43.3;20.6;32.4;30;27.6;21.7;11.6;9.5;8;36.8;56.1;47.7;2.8;5.6;41.1;9.1;8.4;2.2;3.9;2.3;-14.7;9920;33940;3.4
31701;416348;900483;22720;56.9;13.9;25.2;14.6;15.3;12.6;8.7;7.9;5;25.3;80.7;71.9;3.2;5.6;22.7;9.6;5.8;1.9;2.2;1.7;-18.8;11310;41690;3.7
32101;1315;2851;20430;46.6;13.8;;;;;;;;24.9;70.9;62.6;2.6;5.7;29.7;8.2;5.3;2.1;2;1.2;-14.1;11520;33600;2.9
32102;1699;3434;19580;42;17.3;;;;;;;10;30.9;56.3;44.1;3.6;8.6;40;12.3;5.6;1.8;2.4;1.4;-14.2;10530;34450;3.3
32103;1896;3947;18370;38.3;19.3;;;;;;;11.1;33.9;57.5;46.1;3.7;7.7;38.5;13.2;5.7;1.6;2.5;1.6;-14.9;10340;32460;3.1
32104;1815;3637;19080;39.9;17.2;;;;;;;10.3;33.4;57.9;49.4;2.4;6.1;39;10.2;6.7;1.8;3.1;1.8;-13.8;10500;32620;3.1
32105;1896;3773;18870;41.7;16.9;;;;;;;;28.6;55.6;45.5;2.9;7.2;40.9;10.9;7;1.8;3.2;2;-14.4;10760;33030;3.1
32201;3079;6145;18740;39.5;16.7;;;18.9;;;;9.4;28;56.1;47.7;3.1;5.3;40.1;9.7;7.3;1.8;3.4;2.1;-13.2;10990;31900;2.9
32202;3767;8624;22500;53.4;9.9;;;10.6;;;;5;20;79.2;71.2;2.9;5.1;23.3;9.2;4.7;2.1;1.5;1.1;-16.4;12690;37310;2.9
32203;3166;6469;18150;38.9;21.8;;28.1;32.4;23.8;13.2;;10.6;37.5;54.6;44.6;3.3;6.7;41.4;11;7.3;2.3;2.9;2.1;-14.3;10040;32450;3.2
32401;12335;24254;20330;48.7;16.4;31.6;24;20.5;15.6;8.4;7.7;5;30.2;62.6;54.2;2.8;5.6;37.2;9.6;7;1.8;3.2;2;-16.4;10600;35900;3.4
33101;922;2147;19310;41.9;16.8;;;;;;;;;67.4;58.5;3.5;5.4;30.2;9.8;6.5;2.5;2.6;1.4;-13.9;11380;31480;2.8
33102;1069;2853;23330;59.4;7.7;;;;;;;;;80.1;70;3.2;6.9;23.5;9.4;3.4;2.1;0.8;0.5;-16.4;13690;35920;2.6
33103;1811;3866;21350;51.4;11.8;;;;;;;;23.7;56.4;46.7;4;5.7;44;10.4;4.4;1.6;1.7;1.1;-15.2;11840;35650;3
33104;1468;2647;20860;47.7;15.2;;;;;;;;24.1;43.3;32.6;3.1;7.6;54.5;14.8;4.1;1;2.1;1;-16.7;10770;36870;3.4
33105;1328;3211;18960;38.4;15;;;;;;;;24.8;73.2;66.7;4.3;2.2;25.9;3.6;9.4;3.5;3.5;2.4;-12.1;11290;29050;2.6
33106;1355;3654;25550;65.6;;;;;;;;;;79.2;71.4;2.7;5.1;28;6.9;2.8;1.8;0.7;0.3;-16.9;15720;39520;2.5
33107;1295;2953;18770;40.6;18.9;;;;;;;12.5;30.6;62.8;53.8;3.3;5.7;34.8;8.1;7.5;2.5;3.3;1.7;-13.2;10590;32400;3.1
33108;1680;4301;21760;53.5;6.8;;;;;;;;16.7;81.7;75.7;3.3;2.7;21.7;7.5;4.5;2.4;1.3;0.8;-15.4;13880;32710;2.4
33109;1772;4502;26420;66.3;5.6;;;;;;;;;80;72.1;2.6;5.3;24.5;13.5;2.7;1.5;0.8;0.4;-20.7;15000;45720;3
33110;1924;4836;20670;47.1;10.9;;;;;;;7.1;22.6;75.5;67.5;3.8;4.2;27.1;6.3;5.3;2.7;1.6;1;-14.2;12410;32160;2.6
33111;1956;4731;21310;48.9;9.3;;;;;;;;21.5;76.9;69.6;4.2;3.1;25.5;6.5;5.2;2.4;1.7;1.1;-14.1;12930;32430;2.5
33112;1801;4867;22920;57.2;5.9;;;;;;;;;84.5;78.2;3.3;3;20.9;5.8;4;2.3;1.1;0.6;-15.2;14180;34060;2.4
33113;1957;5127;23690;62.4;5;;;;;;;;;84.1;77.6;3.3;3.2;22.6;6;3.3;2;0.8;0.5;-16;15250;35800;2.3
33114;2131;4853;20210;44.7;12.3;;;;;;;;21.2;72.4;63.6;3.6;5.2;29.1;6;6.1;2.4;2.1;1.6;-13.6;11890;32340;2.7
33115;2280;5774;21090;45.9;10.4;;;11.4;;;;;23.2;80.3;71.6;4.2;4.5;22.2;6.2;5.5;2.8;1.5;1.2;-14.2;12580;33270;2.6
33116;1831;4543;21650;51.6;8.3;;;;;;;6.7;;79.5;71.5;2.9;5.1;24.3;7;4.3;2.2;1.4;0.7;-15.1;13290;33610;2.5
33117;2067;4954;19230;42.3;16.1;;;18.1;;;;8.8;28.5;71.1;61.8;4.1;5.2;27.9;7.1;7.6;3.2;2.6;1.8;-13.7;11100;31190;2.8
33118;2147;5685;22840;54.5;6;;;;;;;;;85.5;78.2;3.4;3.9;20.1;5.4;4.2;2.5;1;0.7;-15.2;14320;34920;2.4
33119;2212;5620;18960;35.7;16.3;;18.3;15.1;;;;10.3;28.3;74.5;66.6;4.2;3.7;23.9;5.4;8.3;3.5;2.9;1.9;-12.1;10980;29080;2.6
