CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01104;1127;2833;24590;67.7;;;;;;;;;;74.2;67;2.1;5.1;29.5;11.6;2.5;1.6;0.5;0.4;-17.8;15750;40080;2.5
01105;1157;2798;21140;49.6;11.5;;;;;;;;26.9;76.3;67.7;3.6;5;26.2;6.4;5.5;2.7;1.6;1.2;-14.4;12200;32540;2.7
01106;1212;2898;20400;46.9;11;;;;;;;;21.9;64.1;56.1;3;5;34.4;9.8;5.3;2.9;1.2;1.2;-13.6;12310;31980;2.6
01107;1395;3676;24750;60.7;;;;;;;;;;82.4;73.6;2.6;6.2;23.4;8;3.1;2.1;0.6;0.4;-16.9;15310;39780;2.6
01108;1354;3548;37030;51.8;10.3;;;;;;;9.3;;91.1;86.2;2.6;2.3;16.1;9.1;0.8;0.4;0.2;0.2;-17.1;12200;77530;6.4
01109;1222;2771;19870;46.6;15.3;;;;;;;;27.2;67.9;60.8;4.4;2.7;32.1;6.7;6.2;2.9;1.8;1.5;-12.9;11480;31200;2.7
01110;1384;3398;24430;64.7;;;;;;;;;;77.1;71.2;2.6;3.3;27.4;7.9;3;2;0.5;0.5;-15.4;15080;37760;2.5
01111;1423;3649;24790;65.9;;;;;;;;;;78.6;71.7;2.2;4.7;25.8;11;2.8;1.7;0.6;0.5;-18.2;15450;40560;2.6
01112;1434;3447;22030;56.2;6.4;;;;;;;;;74.9;67.4;2.5;5;26.1;11;3.4;2;0.8;0.6;-15.4;14080;35910;2.5
01113;1518;3769;22850;61;6.5;;;;;;;;;73.2;67.5;2.3;3.4;28.3;10.8;3.6;2.2;0.7;0.7;-15.9;13940;36420;2.6
01114;1635;4007;23600;64.2;5.9;;;;;;;;;77.1;68.5;2.6;6;27.1;10.1;3.7;2.1;0.9;0.7;-18;14410;39450;2.7
01115;1539;3469;21180;49.7;8.2;;;;;;;;;67.3;60.7;2.6;4;33.4;8.5;4.5;2.3;1.3;0.9;-13.7;13250;32420;2.4
01116;1652;3786;21420;53.5;10.5;;;;;;;;25.6;74.7;67.5;3.2;4;27.6;7.7;4.3;2.5;0.9;0.9;-14.3;12520;34150;2.7
01117;1895;4101;20080;47.5;10.5;;;;;;;;18.9;67.2;58.3;3;5.9;31.5;10.3;5.5;2.3;1.8;1.4;-14.5;12490;33270;2.7
