bureau vote;nom bureau vote;circonscription;inscrits;abstentions;votants_urne;votants_emarg;blancs;nuls;exprimes;Emmanuel Macron;Marine Le Pen;Geo Shape;geo_point_2d
113;ECOLE CONDORCET;01;1128;206;922;922;69;11;842;712;130;"{""coordinates"": [[[-0.5448739754678337, 47.458236936152105], [-0.550252607987657, 47.459997894239635], [-0.5517531650058725, 47.45858102851699], [-0.5530140297436607, 47.4584778456011], [-0.5526149938515079, 47.45647463093718], [-0.5505966707366605, 47.45569664377637], [-0.5503122596587655, 47.45560265456552], [-0.5483862808325533, 47.4548685217955], [-0.5483674472395785, 47.4548846779962], [-0.5481814703350257, 47.45501996516566], [-0.5480610416651528, 47.455122983104914], [-0.5471643413784871, 47.45575985524995], [-0.5465818274862511, 47.4561835725091], [-0.546573331242292, 47.45617960161103], [-0.5465502630723587, 47.45619597763027], [-0.5456131878184176, 47.456843081081324], [-0.5444181923844948, 47.457612358743994], [-0.5448739754678337, 47.458236936152105]]], ""type"": ""Polygon""}";47.45746778881168, -0.549026709796934
114;ECOLE CONDORCET;02;507;124;383;383;31;5;347;283;64;"{""coordinates"": [[[-0.5586011331172491, 47.45886958018087], [-0.5585121227988129, 47.45911633831195], [-0.558456006157067, 47.45967362792726], [-0.5584783014769885, 47.46002806657474], [-0.5584919729286286, 47.46052917942263], [-0.558935934404033, 47.46215101660868], [-0.5595663443577203, 47.46376494225475], [-0.5600018642412069, 47.46363832968957], [-0.5618455660718382, 47.463342667039626], [-0.5632597075453252, 47.46288267088708], [-0.5627927088295017, 47.46242724434552], [-0.5613498336787343, 47.46066353966108], [-0.5617126130645468, 47.460430752899526], [-0.5618842326454164, 47.46016874706424], [-0.5605897058571141, 47.45959027447741], [-0.5600747549691889, 47.45934953705876], [-0.5586305159928046, 47.45879294892545], [-0.5586011331172491, 47.45886958018087]]], ""type"": ""Polygon""}";47.4614719050088, -0.5603892458791263
115;ENSEMBLE PAUL BERT;01;984;221;763;763;55;11;697;585;112;"{""coordinates"": [[[-0.5433657964113291, 47.456170151703134], [-0.5424978523470145, 47.45702022065919], [-0.5412701522377016, 47.45619709776147], [-0.5395047370080399, 47.45752740048545], [-0.5399488077761927, 47.458032960110764], [-0.5401683033480362, 47.45820279928813], [-0.5403883462469758, 47.45837883413636], [-0.5412756670146855, 47.45912624026315], [-0.5418463007265554, 47.45953237677615], [-0.5402537099370948, 47.461319474721584], [-0.5414850876370146, 47.461829964661696], [-0.5488133161557767, 47.464809398621334], [-0.5448739754678337, 47.458236936152105], [-0.5433657964113291, 47.456170151703134]]], ""type"": ""Polygon""}";47.460244842772894, -0.5437675458358144
116;ENSEMBLE PAUL BERT;01;1118;223;895;895;53;11;831;630;201;"{""coordinates"": [[[-0.5361230223395848, 47.459532351645706], [-0.5366262728464577, 47.45883577449043], [-0.5366414804670976, 47.45862758403967], [-0.5377273651388871, 47.45897644334574], [-0.5395047370080399, 47.45752740048545], [-0.5412701522377016, 47.45619709776147], [-0.5424978523470145, 47.45702022065919], [-0.5433657964113291, 47.456170151703134], [-0.5407859278593774, 47.452563028686384], [-0.5386589839726699, 47.45301453596875], [-0.535145828684422, 47.45414604916015], [-0.5339637539447353, 47.45506284809718], [-0.5330058750546911, 47.45760188023294], [-0.5361230223395848, 47.459532351645706]]], ""type"": ""Polygon""}";47.45589424490842, -0.5378716224672062
117;ECOLE PRIMAIRE ALFRED CLEMENT;01;1201;260;941;941;70;22;849;669;180;"{""coordinates"": [[[-0.5414850876370146, 47.461829964661696], [-0.5404036024529949, 47.4625578047016], [-0.5393897044829971, 47.4618641549935], [-0.5372640467108, 47.46330720434136], [-0.5383941996780945, 47.46374501453917], [-0.5373697006295707, 47.4648231362822], [-0.5366237263622425, 47.46553237216975], [-0.5364453265319706, 47.46579634418174], [-0.5362991324967183, 47.46608535112587], [-0.5391412506094174, 47.46585500411049], [-0.542503476304451, 47.465549381010355], [-0.5414697452664531, 47.46492793883912], [-0.5400237468635642, 47.46439386469171], [-0.5403618212467465, 47.46413534437657], [-0.540410538379025, 47.463948005685644], [-0.5405539415597358, 47.46361756915422], [-0.5407408240182238, 47.46338961613778], [-0.5411874735345542, 47.463152614174355], [-0.5422537729640878, 47.46391847513894], [-0.5453334196348338, 47.4653461758292], [-0.5486495914867735, 47.465039715074376], [-0.5488133161557767, 47.464809398621334], [-0.5414850876370146, 47.461829964661696]]], ""type"": ""Polygon""}";47.46407263922646, -0.5416968511753563
118;ECOLE PRIMAIRE ALFRED CLEMENT;01;976;274;702;702;40;10;652;509;143;"{""coordinates"": [[[-0.5289892922577244, 47.4610008727832], [-0.5289930790034151, 47.46105784270238], [-0.5290043199647505, 47.46120498540802], [-0.5290319258467023, 47.46145850589437], [-0.5290492499947471, 47.46162725241592], [-0.5290517095307455, 47.46171019456072], [-0.5291113802174437, 47.46198668552983], [-0.529118359249675, 47.462021768044295], [-0.5292305752097102, 47.46253543993295], [-0.5292726752614095, 47.46275331137366], [-0.5292149790998285, 47.46296793091033], [-0.5291733711414719, 47.46312497291037], [-0.5291213834389918, 47.46344944726521], [-0.5289552670487871, 47.463968566180725], [-0.5289434764343001, 47.4639969291728], [-0.5286801337996309, 47.464665425151864], [-0.5286281821874494, 47.46487464620132], [-0.5285513111424256, 47.46505455536651], [-0.5284181581662158, 47.465354587688694], [-0.5283908493751968, 47.4654291653742], [-0.528737299127373, 47.46552545430761], [-0.529074139839818, 47.465616993711215], [-0.5294086915686761, 47.46572201816208], [-0.5295856863742019, 47.46577990544745], [-0.5298300790035042, 47.46584095414702], [-0.5300832700065667, 47.465894530082466], [-0.5308365289882649, 47.46607606701897], [-0.5260165761297442, 47.465900403329925], [-0.5225702280046857, 47.46560790286442], [-0.5197250495275143, 47.46523781780348], [-0.5196785335199263, 47.465435432910645], [-0.5196688253040216, 47.46547525640247], [-0.5195674692887569, 47.46580303024786], [-0.5196493438813234, 47.46579225051881], [-0.5215962724941386, 47.46583786518319], [-0.5228049783431626, 47.46590597566249], [-0.5244777549740504, 47.46622804664097], [-0.5261233346184077, 47.4666560916049], [-0.5298019741739368, 47.46790851037304], [-0.5315256078902613, 47.46863807114321], [-0.5299711806162767, 47.46780123123318], [-0.5310260354041466, 47.46733813067786], [-0.5330908312879169, 47.466747413808854], [-0.5343462575340835, 47.4663538672119], [-0.5362991324967183, 47.46608535112587], [-0.5364453265319706, 47.46579634418174], [-0.5366237263622425, 47.46553237216975], [-0.5341140708829734, 47.464613376198244], [-0.5348925450023521, 47.4642084899069], [-0.5361363758573825, 47.46299806594558], [-0.5348167539589357, 47.46263347687466], [-0.5347808807753683, 47.46262314013407], [-0.5341052518241779, 47.46234272959058], [-0.5337512687727685, 47.462176996080835], [-0.5333402312183209, 47.462005804609824], [-0.5331817284127003, 47.46194834774371], [-0.5328211619507548, 47.46184521122061], [-0.5324830904395321, 47.46175687225385], [-0.5319809913040773, 47.461597826869685], [-0.5316247203935542, 47.46148933296057], [-0.5310581485491711, 47.461329014654694], [-0.5307065905372548, 47.46122145434471], [-0.5306381092754745, 47.46120590088996], [-0.5304081976055849, 47.4611786269866], [-0.5289892922577244, 47.4610008727832]]], ""type"": ""Polygon""}";47.464710887005516, -0.5309160962668525
119;ECOLE PRIMAIRE ALFRED CLEMENT;01;1180;296;884;884;52;14;818;685;133;"{""coordinates"": [[[-0.5348167539589357, 47.46263347687466], [-0.5361363758573825, 47.46299806594558], [-0.5348925450023521, 47.4642084899069], [-0.5341140708829734, 47.464613376198244], [-0.5366237263622425, 47.46553237216975], [-0.5373697006295707, 47.4648231362822], [-0.5383941996780945, 47.46374501453917], [-0.5372640467108, 47.46330720434136], [-0.5393897044829971, 47.4618641549935], [-0.5404036024529949, 47.4625578047016], [-0.5414850876370146, 47.461829964661696], [-0.5402537099370948, 47.461319474721584], [-0.5418463007265554, 47.45953237677615], [-0.5412756670146855, 47.45912624026315], [-0.5403883462469758, 47.45837883413636], [-0.5401683033480362, 47.45820279928813], [-0.5399488077761927, 47.458032960110764], [-0.5395047370080399, 47.45752740048545], [-0.5377273651388871, 47.45897644334574], [-0.5366414804670976, 47.45862758403967], [-0.5366262728464577, 47.45883577449043], [-0.5361230223395848, 47.459532351645706], [-0.5371118398545272, 47.460195642199594], [-0.5362629883835686, 47.46103579891741], [-0.5357758905712801, 47.46126357604028], [-0.5348167539589357, 47.46263347687466]]], ""type"": ""Polygon""}";47.46137551163085, -0.5380467899850832
120;SALLE VILLOUTREYS;02;1176;243;933;933;65;18;850;695;155;"{""coordinates"": [[[-0.5212680643337048, 47.45947042869497], [-0.5210013989795934, 47.45956139979567], [-0.5191353469227459, 47.46043604668271], [-0.518462358434943, 47.460858859640254], [-0.5179409151134294, 47.461294697949654], [-0.5174815411119555, 47.46189197469191], [-0.5170315398135635, 47.46262888555278], [-0.5169738544945789, 47.46312901345227], [-0.5170280085994707, 47.46314879310981], [-0.5172030563555685, 47.463203696703815], [-0.5174361209313564, 47.46327655106842], [-0.5176270333165645, 47.46331638420691], [-0.5181855776758983, 47.46342604976439], [-0.5183005947049107, 47.46345261783713], [-0.5185211481787995, 47.46349892944941], [-0.5189045010270589, 47.46357755490826], [-0.5189946609771735, 47.463597676795835], [-0.5190785172051889, 47.46361483937462], [-0.5191033094699602, 47.463620296382715], [-0.5195642837518313, 47.463712130434644], [-0.5197541179273748, 47.46514554106045], [-0.5197405949849941, 47.46517188484198], [-0.5197250495275143, 47.46523781780348], [-0.5225702280046857, 47.46560790286442], [-0.5260165761297442, 47.465900403329925], [-0.5308365289882649, 47.46607606701897], [-0.5300832700065667, 47.465894530082466], [-0.5298300790035042, 47.46584095414702], [-0.5295856863742019, 47.46577990544745], [-0.5294086915686761, 47.46572201816208], [-0.529074139839818, 47.465616993711215], [-0.528737299127373, 47.46552545430761], [-0.5283908493751968, 47.4654291653742], [-0.5284181581662158, 47.465354587688694], [-0.5285513111424256, 47.46505455536651], [-0.5286281821874494, 47.46487464620132], [-0.5286801337996309, 47.464665425151864], [-0.5289434764343001, 47.4639969291728], [-0.5289552670487871, 47.463968566180725], [-0.5291213834389918, 47.46344944726521], [-0.52913441382383, 47.46336783243831], [-0.5286355305664482, 47.46327521399936], [-0.527962232125696, 47.46316334275161], [-0.5275258761745987, 47.46313246730202], [-0.5271713042738303, 47.463133486870774], [-0.5268626642109878, 47.46317235969032], [-0.52597488581161, 47.463059646057935], [-0.526905005661899, 47.46053396356724], [-0.5263354119853085, 47.46037173423313], [-0.5216235921707095, 47.45953224537721], [-0.5212680643337048, 47.45947042869497]]], ""type"": ""Polygon""}";47.462927186232186, -0.5231570828214266
121;SALLE VILLOUTREYS;02;954;285;669;669;41;15;613;462;151;"{""coordinates"": [[[-0.535145828684422, 47.45414604916015], [-0.5342094645343803, 47.454408380595595], [-0.5331409590885954, 47.45470797418438], [-0.531674416233192, 47.45505503306631], [-0.5303616791680839, 47.4555053273875], [-0.5300507094590661, 47.455686185667], [-0.528069388629331, 47.456879833901894], [-0.5273599534698572, 47.45722395074288], [-0.5267199721428474, 47.4574525799385], [-0.5224586803469187, 47.45906394808588], [-0.5217904772178856, 47.459292059095496], [-0.5212680643337048, 47.45947042869497], [-0.5216235921707095, 47.45953224537721], [-0.5263354119853085, 47.46037173423313], [-0.526905005661899, 47.46053396356724], [-0.52597488581161, 47.463059646057935], [-0.5268626642109878, 47.46317235969032], [-0.5271713042738303, 47.463133486870774], [-0.5275258761745987, 47.46313246730202], [-0.527962232125696, 47.46316334275161], [-0.5286355305664482, 47.46327521399936], [-0.52913441382383, 47.46336783243831], [-0.5291733711414719, 47.46312497291037], [-0.5292149790998285, 47.46296793091033], [-0.5292726752614095, 47.46275331137366], [-0.5292305752097102, 47.46253543993295], [-0.529118359249675, 47.462021768044295], [-0.5291113802174437, 47.46198668552983], [-0.5290517095307455, 47.46171019456072], [-0.5290492499947471, 47.46162725241592], [-0.5290319258467023, 47.46145850589437], [-0.5290043199647505, 47.46120498540802], [-0.5289930790034151, 47.46105784270238], [-0.5289892922577244, 47.4610008727832], [-0.5304081976055849, 47.4611786269866], [-0.5306381092754745, 47.46120590088996], [-0.5307065905372548, 47.46122145434471], [-0.5310581485491711, 47.461329014654694], [-0.5316247203935542, 47.46148933296057], [-0.5319809913040773, 47.461597826869685], [-0.5324830904395321, 47.46175687225385], [-0.5328211619507548, 47.46184521122061], [-0.5331817284127003, 47.46194834774371], [-0.5333402312183209, 47.462005804609824], [-0.5337512687727685, 47.462176996080835], [-0.5341052518241779, 47.46234272959058], [-0.5347808807753683, 47.46262314013407], [-0.5348167539589357, 47.46263347687466], [-0.5357758905712801, 47.46126357604028], [-0.5362629883835686, 47.46103579891741], [-0.5371118398545272, 47.460195642199594], [-0.5361230223395848, 47.459532351645706], [-0.5330058750546911, 47.45760188023294], [-0.5339637539447353, 47.45506284809718], [-0.535145828684422, 47.45414604916015]]], ""type"": ""Polygon""}";47.45920127999827, -0.5302168993688947
122;ECOLE MATERNELLE LAREVELLIERE;01;1235;349;886;886;63;7;816;658;158;"{""coordinates"": [[[-0.5366123462493468, 47.46722314584882], [-0.535636488999147, 47.46749398400704], [-0.5385514623920522, 47.468492910959064], [-0.5373425838719625, 47.47016122308136], [-0.5373351244016865, 47.47039402669052], [-0.5381861692150619, 47.471146711794006], [-0.5384531244986596, 47.471497883262074], [-0.5391800135305087, 47.47178813576257], [-0.5404059268871277, 47.471938466913365], [-0.5411945526225485, 47.47221231758958], [-0.5427161734765302, 47.47259666543443], [-0.5434757423277946, 47.4715278017633], [-0.5434920130261554, 47.471504972255524], [-0.5440782002901636, 47.47135218920102], [-0.5446310598079087, 47.470600933001684], [-0.543915819765964, 47.47035213574279], [-0.544172390979419, 47.470042082410224], [-0.5440153305883892, 47.46973230019853], [-0.5366123462493468, 47.46722314584882]]], ""type"": ""Polygon""}";47.47018058208857, -0.5405742752841071
