code_bureau_vote;nom_bureau_vote;nb_inscrits;nb_abstentions;nb_votants;nb_votants_emargements;nb_blancs;nb_nuls;nb_exprimes;demain_angers;angers_pour_vous;Geo Shape;geo_point_2d
101;HOTEL DE VILLE;1392;734;658;658;10;3;645;313;332;"{""coordinates"": [[[-0.555619006142785, 47.475192260187384], [-0.555107028132652, 47.47475067505399], [-0.554871651572864, 47.47466579950148], [-0.554673561948581, 47.47441307915173], [-0.554656090156923, 47.47436090495518], [-0.553020887442649, 47.474755444624954], [-0.550204190326045, 47.473128777756], [-0.55012592920943, 47.47308443643607], [-0.550218582290561, 47.47304404130637], [-0.55013950411948, 47.47297747502325], [-0.550037172269347, 47.473034147298755], [-0.549518444646169, 47.47333984762096], [-0.549250935604383, 47.473553634976255], [-0.549085352917821, 47.473638204051085], [-0.549125942720947, 47.473714453971866], [-0.548562918561724, 47.47395719743554], [-0.548912201068723, 47.47427226207023], [-0.548777329906361, 47.47433562830086], [-0.548246171004084, 47.47402645590754], [-0.54757677751717, 47.47374960329429], [-0.54686118797209, 47.4744457496929], [-0.548749390147784, 47.47528244392504], [-0.553911171051917, 47.47755345454325], [-0.554022068339709, 47.477426504689994], [-0.554169250585203, 47.47722262306758], [-0.554261916667096, 47.47709515357985], [-0.554507100325362, 47.47675427330526], [-0.554604692134212, 47.47663493565438], [-0.554745634868942, 47.47642917423216], [-0.554863030900919, 47.47626051423547], [-0.554977376319716, 47.476115718943994], [-0.555129606637863, 47.475896103202544], [-0.555263827429071, 47.47570504461024], [-0.555396523172362, 47.475513042322305], [-0.555619006142785, 47.475192260187384]]], ""type"": ""Polygon""}";47.47520208795318, -0.5516519811054202
102;HOTEL DE VILLE;1638;913;725;725;10;12;703;260;443;"{""coordinates"": [[[-0.5490878008389, 47.469441513136196], [-0.547847925511, 47.470389216672494], [-0.546986338113706, 47.471269279055996], [-0.5470860035006, 47.47131600998878], [-0.547012440789038, 47.471429380696954], [-0.54463105980786, 47.470600933001684], [-0.544078200290162, 47.47135218920105], [-0.543492013026202, 47.47150497225558], [-0.543475742327792, 47.47152780176331], [-0.542716173476525, 47.472596665434445], [-0.543853214105938, 47.47325130573835], [-0.545440978725286, 47.47381196018663], [-0.54686118797209, 47.4744457496929], [-0.54757677751717, 47.47374960329429], [-0.548246171004084, 47.47402645590754], [-0.548777329906361, 47.47433562830086], [-0.548912201068723, 47.47427226207023], [-0.548562918561724, 47.47395719743554], [-0.549125942720947, 47.473714453971866], [-0.549085352917821, 47.473638204051085], [-0.549250935604383, 47.473553634976255], [-0.549518444646169, 47.47333984762096], [-0.550037172269347, 47.473034147298755], [-0.55013950411948, 47.47297747502325], [-0.550218582290561, 47.47304404130637], [-0.55012592920943, 47.47308443643607], [-0.550204190326045, 47.473128777756], [-0.550654348501137, 47.47310241992624], [-0.551289671337314, 47.473031017331024], [-0.551518135148994, 47.47299799262855], [-0.551536414792449, 47.47295521538398], [-0.551732837468293, 47.4728997254246], [-0.551832459026923, 47.47292405692268], [-0.552753079195043, 47.472264316204964], [-0.552025383424574, 47.4715525076096], [-0.551304016678936, 47.470865531705314], [-0.5490878008389, 47.469441513136196]]], ""type"": ""Polygon""}";47.47211221172139, -0.5477678221110683
103;SALONS CURNONSKY-WELCOME;1147;631;516;516;13;6;497;253;244;"{""coordinates"": [[[-0.558203026212985, 47.47264475592011], [-0.555830756671494, 47.471135266881866], [-0.555369772961822, 47.47088474077351], [-0.555528926297432, 47.47076872842067], [-0.55546103602351, 47.47071472316068], [-0.555545802674458, 47.470586504734634], [-0.555051519008314, 47.470222085589405], [-0.554702352822105, 47.47035636794805], [-0.554402675102781, 47.47020468077849], [-0.554039537919001, 47.470320622030805], [-0.553863846329913, 47.47024924177409], [-0.553173312280413, 47.470741569533445], [-0.552025383424574, 47.4715525076096], [-0.552753079195043, 47.472264316204964], [-0.551832459026923, 47.47292405692268], [-0.551732837468293, 47.4728997254246], [-0.551536414792449, 47.47295521538398], [-0.551518135148994, 47.47299799262855], [-0.551289671337314, 47.473031017331024], [-0.550654348501137, 47.47310241992624], [-0.550204190326045, 47.473128777756], [-0.553020887442649, 47.474755444624954], [-0.554656090156923, 47.47436090495518], [-0.554673561948581, 47.47441307915173], [-0.554871651572864, 47.47466579950148], [-0.555107028132652, 47.47475067505399], [-0.555619006142785, 47.475192260187384], [-0.556208549503463, 47.474397723466495], [-0.55637267455005, 47.47414964634749], [-0.556457444482146, 47.47402142739301], [-0.55663771048989, 47.4738081489324], [-0.556782528237258, 47.47363864180821], [-0.556847897442903, 47.47356180357648], [-0.558203026212985, 47.47264475592011]]], ""type"": ""Polygon""}";47.47271820585369, -0.5544396549010651
104;SALONS CURNONSKY - WELCOME;1298;572;726;725;9;8;709;262;447;"{""coordinates"": [[[-0.558636247255636, 47.46862211430335], [-0.553027523998574, 47.46645854792162], [-0.5490878008389, 47.469441513136196], [-0.551304016678936, 47.470865531705314], [-0.552025383424574, 47.4715525076096], [-0.553173312280413, 47.470741569533445], [-0.553863846329913, 47.47024924177409], [-0.554039537919001, 47.470320622030805], [-0.554402675102781, 47.47020468077849], [-0.554702352822105, 47.47035636794805], [-0.555051519008314, 47.470222085589405], [-0.555545802674458, 47.470586504734634], [-0.55546103602351, 47.47071472316068], [-0.555528926297432, 47.47076872842067], [-0.555369772961822, 47.47088474077351], [-0.555830756671494, 47.471135266881866], [-0.558203026212985, 47.47264475592011], [-0.562441538980538, 47.470124705872], [-0.558636247255636, 47.46862211430335]]], ""type"": ""Polygon""}";47.469547444029196, -0.5554913097165048
105;ECOLE PRIMAIRE DE LA BLANCHERAIE;1473;665;808;808;9;3;796;313;483;"{""coordinates"": [[[-0.559566344357682, 47.4637649422548], [-0.55842418720611, 47.46408783809019], [-0.558755210044261, 47.46494575837289], [-0.558690246143781, 47.46508151015727], [-0.558764780582437, 47.46527661779681], [-0.558946411535095, 47.46544128795596], [-0.559278638704285, 47.46630228161413], [-0.558952529198671, 47.46813055105859], [-0.558636247255636, 47.46862211430335], [-0.562441538980538, 47.470124705872], [-0.562577375212063, 47.47016409484477], [-0.562784769662735, 47.47024080396296], [-0.564540162416412, 47.469265581467944], [-0.564572674491239, 47.469134736935395], [-0.566246910426232, 47.467830095979906], [-0.565658177859883, 47.46735379533115], [-0.56617544754687, 47.46490732726914], [-0.56668904873945, 47.462208612141595], [-0.56649703906333, 47.462053894375785], [-0.564361319223419, 47.46317478936087], [-0.563843682709214, 47.46345205631634], [-0.563259707545351, 47.46288267088712], [-0.561845566071791, 47.463342667039655], [-0.560001864241237, 47.46363832968961], [-0.559566344357682, 47.4637649422548]]], ""type"": ""Polygon""}";47.466222338963654, -0.5626240471538926
106;ECOLE PRIMAIRE DE LA BLANCHERAIE;1034;495;539;539;4;2;533;223;310;"{""coordinates"": [[[-0.55842418720611, 47.46408783809019], [-0.552770551515682, 47.46463266863912], [-0.550639895684362, 47.464792830335504], [-0.550495026591568, 47.46519936082809], [-0.549394644547931, 47.464887235630464], [-0.549086349821441, 47.46491060631492], [-0.553027523998574, 47.46645854792162], [-0.558636247255636, 47.46862211430335], [-0.558952529198671, 47.46813055105859], [-0.559278638704285, 47.46630228161413], [-0.558946411535095, 47.46544128795596], [-0.558764780582437, 47.46527661779681], [-0.558690246143781, 47.46508151015727], [-0.558755210044261, 47.46494575837289], [-0.55842418720611, 47.46408783809019]]], ""type"": ""Polygon""}";47.46595139591747, -0.5557320705869108
107;LYCEE DAVID D'ANGERS;1201;499;702;702;9;5;688;176;512;"{""coordinates"": [[[-0.5490878008389, 47.469441513136196], [-0.553027523998574, 47.46645854792162], [-0.54925295790959, 47.46497236431957], [-0.548813316155749, 47.46480939862139], [-0.548649591486815, 47.46503971507439], [-0.545438627752097, 47.469466380727894], [-0.544706816333285, 47.46921782738482], [-0.544558090318115, 47.46946640480842], [-0.544086424755289, 47.46969031434315], [-0.544172390979414, 47.47004208241026], [-0.543915819765924, 47.47035213574283], [-0.547012440789038, 47.471429380696954], [-0.5470860035006, 47.47131600998878], [-0.546986338113706, 47.471269279055996], [-0.547847925511, 47.470389216672494], [-0.5490878008389, 47.469441513136196]]], ""type"": ""Polygon""}";47.468073180574905, -0.5484070029803201
108;LYCEE DAVID D'ANGERS;923;340;583;583;8;7;568;167;401;"{""coordinates"": [[[-0.544086424755289, 47.46969031434315], [-0.544558090318115, 47.46946640480842], [-0.544706816333285, 47.46921782738482], [-0.54157123413636, 47.46814901374747], [-0.542383640235838, 47.46708258549172], [-0.543550118462391, 47.46615898303879], [-0.542503476304426, 47.465549381010405], [-0.539141250609391, 47.4658550041105], [-0.536299132496754, 47.46608535112588], [-0.536040187319192, 47.466274590386014], [-0.535995364047934, 47.46634755462931], [-0.536430457212933, 47.46647741047831], [-0.536685964382549, 47.46717426668813], [-0.544086424755289, 47.46969031434315]]], ""type"": ""Polygon""}";47.4671411745298, -0.5403664819803866
109;LYCEE DAVID D'ANGERS;967;383;584;584;11;5;568;151;417;"{""coordinates"": [[[-0.545438627752097, 47.469466380727894], [-0.548649591486815, 47.46503971507439], [-0.545333419634788, 47.465346175829225], [-0.542253772964071, 47.46391847513898], [-0.541187473534525, 47.46315261417439], [-0.540740824018219, 47.4633896161378], [-0.540553941559746, 47.463617569154266], [-0.540410538379024, 47.46394800568569], [-0.540361821246755, 47.46413534437663], [-0.5400237468636, 47.46439386469175], [-0.541469745266471, 47.46492793883915], [-0.542503476304426, 47.465549381010405], [-0.543550118462391, 47.46615898303879], [-0.542383640235838, 47.46708258549172], [-0.54157123413636, 47.46814901374747], [-0.544706816333285, 47.46921782738482], [-0.545438627752097, 47.469466380727894]]], ""type"": ""Polygon""}";47.46646271824509, -0.5443512091234572
110;ECOLE CONDORCET;1255;544;711;711;8;10;693;280;413;"{""coordinates"": [[[-0.558478301476977, 47.460028066574814], [-0.55211147043493, 47.460594861996], [-0.552458313079135, 47.462532066430725], [-0.552838881580912, 47.46462608530938], [-0.55842418720611, 47.46408783809019], [-0.559566344357682, 47.4637649422548], [-0.558991147020837, 47.46216206616347], [-0.55892234407217, 47.46204002658295], [-0.558519317738266, 47.46052610162397], [-0.558478301476977, 47.460028066574814]]], ""type"": ""Polygon""}";47.46232783987066, -0.5557076633249836
