Bureau;Libellés;Inscrits;NB_Votants;POURCENTAGE_Votants;NB_Enveloppes;POURCENTAGE_Enveloppes;NB_Nuls;POURCENTAGE_Nuls;NB_Blancs;POURCENTAGE_Blancs;NB_Exprimés;POURCENTAGE_Exprimés;NB_Procurations;NB_VOIX_Emmanuel_MACRON;POURCENTAGE_VOIX_Emmanuel_MACRON;NB_VOIX_Marine_LE_PEN;POURCENTAGE_VOIX_Marine_LE_PEN;Geo Shape;geo_point_2d
102;HOTEL DE VILLE;1354;978;72.2;979;72.3;11;1.1;84;8.6;884;90.3;114;757;85.6;127;14.4;"{""coordinates"": [[[-0.5490878008389004, 47.469441513136196], [-0.547847925511, 47.470389216672494], [-0.5469863381137063, 47.471269279055996], [-0.5470860035006003, 47.47131600998878], [-0.5470124407890382, 47.471429380696954], [-0.5446310598078602, 47.470600933001684], [-0.5440782002901621, 47.47135218920105], [-0.5434920130262015, 47.47150497225558], [-0.5434757423277918, 47.47152780176331], [-0.5427161734765247, 47.472596665434445], [-0.5438532141059382, 47.47325130573835], [-0.5454409787252863, 47.47381196018663], [-0.5468611879720897, 47.4744457496929], [-0.5475767775171698, 47.47374960329429], [-0.5482461710040836, 47.47402645590754], [-0.5487773299063614, 47.47433562830086], [-0.548912201068723, 47.47427226207023], [-0.5485629185617245, 47.47395719743554], [-0.5491259427209473, 47.473714453971866], [-0.5490853529178209, 47.473638204051085], [-0.5492509356043831, 47.473553634976255], [-0.5495184446461691, 47.47333984762096], [-0.5500371722693469, 47.473034147298755], [-0.5501395041194796, 47.47297747502325], [-0.5502185822905609, 47.47304404130637], [-0.5501259292094296, 47.47308443643607], [-0.5502041903260447, 47.473128777756], [-0.5506543485011375, 47.47310241992624], [-0.5512896713373139, 47.473031017331024], [-0.5515181351489938, 47.47299799262855], [-0.5515364147924486, 47.47295521538398], [-0.5517328374682926, 47.4728997254246], [-0.5518324590269233, 47.47292405692268], [-0.5527530791950434, 47.472264316204964], [-0.5520253834245742, 47.4715525076096], [-0.5513040166789364, 47.470865531705314], [-0.5490878008389004, 47.469441513136196]]], ""type"": ""Polygon""}";47.47211221172137, -0.5477678221110684
103;SALONS CURNONSKY-WELCOME;1183;841;71.1;841;71.1;20;2.4;84;10.0;737;87.6;89;650;88.2;87;11.8;"{""coordinates"": [[[-0.5582030262129849, 47.47264475592011], [-0.5558307566714938, 47.471135266881866], [-0.5553697729618218, 47.47088474077351], [-0.555528926297432, 47.47076872842067], [-0.5554610360235098, 47.47071472316068], [-0.5555458026744577, 47.470586504734634], [-0.5550515190083141, 47.470222085589405], [-0.5547023528221051, 47.47035636794805], [-0.5544026751027805, 47.47020468077849], [-0.5540395379190005, 47.470320622030805], [-0.5538638463299135, 47.47024924177409], [-0.5531733122804133, 47.470741569533445], [-0.5520253834245742, 47.4715525076096], [-0.5527530791950434, 47.472264316204964], [-0.5518324590269233, 47.47292405692268], [-0.5517328374682926, 47.4728997254246], [-0.5515364147924486, 47.47295521538398], [-0.5515181351489938, 47.47299799262855], [-0.5512896713373139, 47.473031017331024], [-0.5506543485011375, 47.47310241992624], [-0.5502041903260447, 47.473128777756], [-0.5530208874426487, 47.474755444624954], [-0.5546560901569225, 47.47436090495518], [-0.5546735619485808, 47.47441307915173], [-0.5548716515728638, 47.47466579950148], [-0.5551070281326523, 47.47475067505399], [-0.5556190061427851, 47.475192260187384], [-0.5562085495034634, 47.474397723466495], [-0.5563726745500497, 47.47414964634749], [-0.5564574444821456, 47.47402142739301], [-0.5566377104898895, 47.4738081489324], [-0.5567825282372578, 47.47363864180821], [-0.5568478974429031, 47.47356180357648], [-0.5582030262129849, 47.47264475592011]]], ""type"": ""Polygon""}";47.47271820585367, -0.5544396549010648
201;ECOLE CHARLES BENIER;868;672;77.4;672;77.4;16;2.4;44;6.5;612;91.1;73;535;87.4;77;12.6;"{""coordinates"": [[[-0.5586305159928313, 47.45879294892549], [-0.5600747549692005, 47.4593495370588], [-0.5605897058571289, 47.45959027447744], [-0.5618842326454063, 47.46016874706427], [-0.5617126130645357, 47.46043075289956], [-0.5613498336787227, 47.46066353966109], [-0.5627927088294624, 47.46242724434553], [-0.5632597075453506, 47.46288267088712], [-0.5638436827092137, 47.46345205631634], [-0.5648457993210019, 47.46292052581714], [-0.565660374885326, 47.46249301323812], [-0.56649703906333, 47.462053894375785], [-0.5666890487394498, 47.462208612141595], [-0.5701040168930643, 47.463942157024086], [-0.5708623015311003, 47.462352772837875], [-0.5717528950895947, 47.46125254180994], [-0.5726610273985308, 47.45997941762962], [-0.572972428361274, 47.45919306979671], [-0.573072684079424, 47.458429824620836], [-0.5728399418495616, 47.457837883502606], [-0.5724222529953197, 47.45725166612598], [-0.5717013639678773, 47.456730836583624], [-0.5703327967502728, 47.45593622904099], [-0.5685961413332533, 47.45488096821352], [-0.5670220478642923, 47.45610819303885], [-0.5656916938593237, 47.45585954078942], [-0.5651673394803557, 47.456396003672616], [-0.564168524954601, 47.45771031492803], [-0.5630791219570165, 47.45696724235227], [-0.5636975805527045, 47.456556645198475], [-0.5631820865483331, 47.456198793451584], [-0.5630369430252895, 47.45620219343035], [-0.562483437089388, 47.456601417994875], [-0.5616983991424466, 47.45608250907354], [-0.5601515625696106, 47.45682805720378], [-0.5596881728141267, 47.45715596580374], [-0.5593348753418024, 47.45748047759714], [-0.5591246915329203, 47.45774754065098], [-0.5588765965621478, 47.458158128735015], [-0.5586389893743334, 47.458770807465754], [-0.5586305159928313, 47.45879294892549]]], ""type"": ""Polygon""}";47.45927421271084, -0.5665745258095346
204;ECOLE MATERNELLE J.J.ROUSSEAU;979;570;58.2;570;58.2;13;2.3;40;7.0;517;90.7;16;384;74.3;133;25.7;"{""coordinates"": [[[-0.5667638082365067, 47.451900285173075], [-0.5684056255952293, 47.44922127439589], [-0.5675364939177443, 47.44881719907102], [-0.5665771491914391, 47.44975961429361], [-0.5633569008625484, 47.44817276686563], [-0.5619106454215347, 47.44949979892706], [-0.5612605110291695, 47.45003283428579], [-0.5607207742762433, 47.449777380201475], [-0.5604322425946189, 47.45007073847263], [-0.5604700684672761, 47.45033346616523], [-0.5636043478098803, 47.45194004886104], [-0.5636269047709656, 47.45209887089581], [-0.565513905728707, 47.4530063605168], [-0.5667638082365067, 47.451900285173075]]], ""type"": ""Polygon""}";47.450485516747285, -0.5645796407361062
217;ECOLE JEAN ROSTAND;874;672;76.9;672;76.9;12;1.8;68;10.1;592;88.1;62;514;86.8;78;13.2;"{""coordinates"": [[[-0.5969767530874251, 47.45954204182193], [-0.5978852678197351, 47.45957288684191], [-0.5983350078275896, 47.459679347099446], [-0.5985753933253143, 47.45970192809529], [-0.5986112939413962, 47.46016498664681], [-0.598878098672109, 47.46087107921993], [-0.5992927222895573, 47.462897652080514], [-0.5994712962367735, 47.463003198605456], [-0.5996971445789475, 47.46294627179844], [-0.6000299422000043, 47.46290789003108], [-0.6003865833567714, 47.46288434128628], [-0.6007371158235175, 47.462927344554664], [-0.6012199360662389, 47.46304725981779], [-0.6018401368131998, 47.463274091429106], [-0.602717449633627, 47.46361112419117], [-0.6027548294744494, 47.463461474565634], [-0.6029242827174345, 47.46277707172104], [-0.6038341802772581, 47.46149534149422], [-0.6039146060492193, 47.46119163201995], [-0.60443037571977, 47.46071549118055], [-0.6052209530096523, 47.45988706516917], [-0.6042363938699927, 47.45893965787147], [-0.6047266440687359, 47.458516267140205], [-0.6046014953177942, 47.45739452836994], [-0.6044003690484753, 47.45736344059796], [-0.6043724584212322, 47.45735908957234], [-0.6042201460827167, 47.457325396652976], [-0.60408189900879, 47.45729549645664], [-0.6035580375992642, 47.45715706587365], [-0.6031567072890028, 47.457041911485774], [-0.6030298025215046, 47.45699913981843], [-0.6028410974027191, 47.45692606111866], [-0.6021287568064926, 47.456649256007864], [-0.6020588979199615, 47.456521682050635], [-0.6017072118036875, 47.45598743746959], [-0.6008284238894989, 47.45535654137083], [-0.6007050839432186, 47.455207673810676], [-0.6002158864456772, 47.45521780130502], [-0.6002112496540515, 47.45521794593515], [-0.6002051555850345, 47.45521813602016], [-0.6002006589221383, 47.455220347300184], [-0.6001812804512097, 47.45522824534299], [-0.6001813474689779, 47.455229233741], [-0.6001771965221435, 47.455234585790535], [-0.6001239297397616, 47.45528505131204], [-0.6001181829309128, 47.455290363091216], [-0.6001136862582848, 47.45529257436778], [-0.6001064212439007, 47.455297033056624], [-0.6000989445472313, 47.45530032777044], [-0.6000959706165135, 47.4553015010624], [-0.6000884269023328, 47.45530380737748], [-0.6000809425592945, 47.45530503130755], [-0.6000702116801846, 47.455305366010144], [-0.5997089736237968, 47.455307358088824], [-0.5988058920854118, 47.45531057705067], [-0.599058939751034, 47.455631888928714], [-0.5988958054793893, 47.45564210812482], [-0.5969482532072462, 47.455732981451845], [-0.5967653115450717, 47.45574282439017], [-0.5969075972898955, 47.45633025098885], [-0.597123909474494, 47.45766931036645], [-0.5971179684092796, 47.457830494477946], [-0.5969863315266233, 47.459412980270145], [-0.5969767530874251, 47.45954204182193]]], ""type"": ""Polygon""}";47.459100973315884, -0.6008710491428175
308;ECOLE ROBERT DESNOS;894;613;68.6;613;68.6;18;2.9;36;5.9;559;91.2;40;425;76.0;134;24.0;"{""coordinates"": [[[-0.5874308629834153, 47.468846245033035], [-0.5845710307597184, 47.4675207639835], [-0.58391214834727, 47.467922282380506], [-0.5831097859962119, 47.46826395895296], [-0.58278498425877, 47.46842143951472], [-0.5825010132830996, 47.46852479682231], [-0.5823879286312261, 47.46855117675726], [-0.5820288449239256, 47.468834338383715], [-0.5818140661395448, 47.46905593464451], [-0.5815213734528795, 47.46939421203765], [-0.5813861157846962, 47.469523027337075], [-0.5812389609930094, 47.469680214855465], [-0.5811467839581741, 47.46981183548882], [-0.5810807606223529, 47.46990005449331], [-0.5805944582905928, 47.47045512468462], [-0.5803724648628281, 47.47068216399497], [-0.580771814916896, 47.47085976983254], [-0.5808181670942419, 47.47088741612895], [-0.5808767494535433, 47.470962495890014], [-0.5808984966755592, 47.47108013781636], [-0.5809018135124724, 47.4711745800208], [-0.5808863008773926, 47.47139935806484], [-0.5808673563253445, 47.47168547170545], [-0.580784721149285, 47.47179914748732], [-0.5807867263893002, 47.47189777231906], [-0.580843214687189, 47.47207565599942], [-0.58096857227687, 47.472390519987364], [-0.5811169146949535, 47.472681890110955], [-0.5812045735840625, 47.47284737140076], [-0.5813334990099782, 47.47310089520899], [-0.5800729173719849, 47.47346297191442], [-0.5772535836937488, 47.47385253760998], [-0.5773204587177506, 47.47416300376251], [-0.5772864068314413, 47.47433955187691], [-0.5768221540463456, 47.47445045992213], [-0.5768699615350257, 47.474728291156545], [-0.5775550948199598, 47.47507678032794], [-0.5778932769177294, 47.47534354310133], [-0.5788098355197719, 47.47553529311559], [-0.5795081517805171, 47.47564763089277], [-0.5800860283773818, 47.47579170213186], [-0.5807036771234312, 47.47595632758541], [-0.5808529221704771, 47.4761251217639], [-0.5809956691441361, 47.47653813323199], [-0.580746197055457, 47.47717715946855], [-0.5803730454746147, 47.47754809076649], [-0.5795204726096799, 47.477852754716636], [-0.5790554025351605, 47.47826903070011], [-0.5789648509859412, 47.47860625555389], [-0.579115212916826, 47.47879158511807], [-0.5798930703330731, 47.478969978870296], [-0.5816181694980608, 47.47942945881992], [-0.5828885290732804, 47.47971195313444], [-0.5834573341483961, 47.4798998711639], [-0.5834601763487408, 47.47989672150965], [-0.5843861734878126, 47.478549214371796], [-0.5848093949838278, 47.478487273251524], [-0.5846819170138314, 47.47810485737782], [-0.5846979022536107, 47.477947595496545], [-0.5855851489483028, 47.47647544464217], [-0.5858423811023635, 47.47613686548276], [-0.5859183112118609, 47.476016728456585], [-0.5859665918578585, 47.47591555140498], [-0.5862827554364434, 47.473907855826155], [-0.5861545210608571, 47.47359614748393], [-0.5854951684326126, 47.47213379428184], [-0.5859022795090599, 47.47199337984145], [-0.5868550965086805, 47.471226509617985], [-0.5877192713089453, 47.47071054437536], [-0.5888611876031492, 47.470113273950815], [-0.5891624625529125, 47.46917979309411], [-0.5874308629834153, 47.468846245033035]]], ""type"": ""Polygon""}";47.473534622972736, -0.5831902847935644
404;ECOLE MATERNELLE GERARD PHILIPE;1245;923;74.1;923;74.1;31;3.4;66;7.2;826;89.5;70;636;77.0;190;23.0;"{""coordinates"": [[[-0.5704003335666767, 47.48378506880214], [-0.5703786418476101, 47.483780516990706], [-0.5696056212823212, 47.48449602547298], [-0.5695792279909833, 47.48451241851661], [-0.5683258992567892, 47.485943557843264], [-0.568156053222638, 47.48603713649024], [-0.568133881763595, 47.48604916675656], [-0.5679481343780074, 47.48604455051699], [-0.5663861621533108, 47.48575639904989], [-0.5661268902337253, 47.485727037836256], [-0.5654513691743838, 47.485728085473205], [-0.5655979370642474, 47.486039246705054], [-0.5656275728339878, 47.4863261049984], [-0.5655750058061718, 47.48632070465752], [-0.565123053256863, 47.48627847087753], [-0.5642989222403217, 47.48620099049425], [-0.5636010099078087, 47.48613374630815], [-0.5635272273094051, 47.48612494780084], [-0.563431440684574, 47.48657577007201], [-0.5633839662866547, 47.487101186665186], [-0.5632707819137434, 47.48796358490122], [-0.5632249717350105, 47.488331827339955], [-0.5630368974186551, 47.4889613469101], [-0.5627657508551338, 47.48964763338764], [-0.5627080722588855, 47.489809506237975], [-0.5626874668698255, 47.48992404424187], [-0.5627860207044075, 47.49096251333918], [-0.5638048650740003, 47.49093351265767], [-0.5647514847727328, 47.49063426643966], [-0.5663222171744894, 47.4900369480916], [-0.5696830310098328, 47.48881222201059], [-0.5705097258955094, 47.488530229045814], [-0.5722067125892714, 47.48790977036759], [-0.5734001056646282, 47.48747720832763], [-0.5735313291250465, 47.48746900624986], [-0.5725798771174112, 47.48623884336739], [-0.5710657929751858, 47.484296101554584], [-0.5704003335666767, 47.48378506880214]]], ""type"": ""Polygon""}";47.48757672519106, -0.5676194593939643
405;ECOLE ELEMENTAIRE NELSON MANDELA;990;538;54.3;538;54.3;12;2.2;55;10.2;471;87.5;29;345;73.2;126;26.8;"{""coordinates"": [[[-0.5666016519949854, 47.50291577487193], [-0.5671051765120322, 47.50310635594272], [-0.5679255158674527, 47.50334277409407], [-0.569153899563464, 47.503835444842586], [-0.5696891402221538, 47.504297568069596], [-0.5699824931589575, 47.50473916080988], [-0.5701391007277028, 47.50465337428377], [-0.5710988207624743, 47.50404420658668], [-0.5712213310046883, 47.50397504958592], [-0.5712600656044656, 47.50395827506335], [-0.5714493207177382, 47.50390155125899], [-0.5715426681935741, 47.50387687548844], [-0.571750293972882, 47.50384236375202], [-0.5718633314909147, 47.50383580760559], [-0.571951281250976, 47.5038237241047], [-0.573377237004042, 47.503743250975596], [-0.5734427362426, 47.50373915409154], [-0.5735005312732506, 47.50373115355863], [-0.5735505027167074, 47.50372339499402], [-0.5736110691362688, 47.50371116676722], [-0.5736892391607424, 47.50369002010792], [-0.5737207721307185, 47.50368076086656], [-0.5737921395738268, 47.5036473988188], [-0.5738606029274294, 47.5036182684747], [-0.5739201218783555, 47.50359049528284], [-0.574112609031375, 47.503491077309], [-0.574168315636486, 47.50345405759157], [-0.574222702785804, 47.50341914962311], [-0.5742723761441522, 47.50338330696326], [-0.5743172691213987, 47.503345541220355], [-0.574380865050004, 47.50328756772457], [-0.5744076707486238, 47.503253513003884], [-0.5744369631839451, 47.50321100746261], [-0.574499153631801, 47.503110487669645], [-0.5745278222918675, 47.503058727107], [-0.5745966298124008, 47.50289668412981], [-0.5746037509378391, 47.50286629983157], [-0.5746145249743936, 47.50279744475156], [-0.5746183111143016, 47.502741231636925], [-0.5746154806214298, 47.50263020778316], [-0.5745766831804678, 47.50237388901782], [-0.5743703202484438, 47.50144888276051], [-0.57436994939283, 47.501398020671594], [-0.574383302502591, 47.501367443550315], [-0.5743827872128032, 47.5011566718497], [-0.5743815082289476, 47.50109233159634], [-0.5743681095905814, 47.501051236925996], [-0.5744669672723436, 47.50097236305221], [-0.5744101065446566, 47.50062935261973], [-0.5745090883443351, 47.500664737795766], [-0.574468757916747, 47.49997545556478], [-0.5760172637069241, 47.49907915705179], [-0.5735615957877938, 47.497972449966234], [-0.5737527061883966, 47.49778582390639], [-0.5746141393862568, 47.497175609351466], [-0.5743862919626672, 47.49690956295306], [-0.5747081380481576, 47.49668359317916], [-0.5750238570134844, 47.49682023060254], [-0.5758619632864179, 47.49577564489377], [-0.5760641855343805, 47.49579747770864], [-0.5769045732120321, 47.49469464517428], [-0.578199626273964, 47.494313905702185], [-0.5781361756464561, 47.49423591384063], [-0.5785810924255834, 47.49406428685139], [-0.5776481030904617, 47.492679977155184], [-0.5771862049861245, 47.49207740443899], [-0.5735313291250465, 47.48746900624986], [-0.5734001056646282, 47.48747720832763], [-0.5722067125892714, 47.48790977036759], [-0.5705097258955094, 47.488530229045814], [-0.5696830310098328, 47.48881222201059], [-0.5679496474918817, 47.489440714534666], [-0.5663222171744894, 47.4900369480916], [-0.5663181783831441, 47.490056945883424], [-0.5665508855891124, 47.49022843350725], [-0.5665779901222048, 47.490267312100386], [-0.5665869534774677, 47.49030957188133], [-0.5665933974761349, 47.490789730511786], [-0.5665900508438639, 47.49097780020848], [-0.5665883709939517, 47.49114781910906], [-0.5662607690104978, 47.49115239166344], [-0.5662846668408699, 47.49155137896463], [-0.5662988418038357, 47.49158853905603], [-0.5678612510583281, 47.49202905951343], [-0.567903500818094, 47.49204952200329], [-0.5679153922333404, 47.492078881027425], [-0.5678700044760683, 47.492470959276844], [-0.5692293252745535, 47.492569029978945], [-0.5696327379989992, 47.49257112589089], [-0.5699473379267941, 47.492594496869486], [-0.5702785981516403, 47.49267927644314], [-0.5704579307603619, 47.49275409000402], [-0.5705351153990869, 47.49279839974303], [-0.5706006854836082, 47.49287991085766], [-0.5724836280528286, 47.495252945825186], [-0.5682032986415427, 47.496669257628426], [-0.566583784625708, 47.49734602914424], [-0.5655153392966605, 47.498112230125024], [-0.5652795692218662, 47.498314735530286], [-0.5650778982638365, 47.49876067088262], [-0.5647476279627356, 47.4998198517937], [-0.5649167512173965, 47.500860825686665], [-0.5656645677358422, 47.502065196152095], [-0.5666016519949854, 47.50291577487193]]], ""type"": ""Polygon""}";47.496260361597145, -0.5714003896250992
504;ECOLE MATERNELLE MARIE TALET;1059;776;73.3;776;73.3;19;2.4;65;8.4;692;89.2;67;583;84.2;109;15.8;"{""coordinates"": [[[-0.5442042890174615, 47.47724023635847], [-0.5440274763553119, 47.477643373428435], [-0.5435786058944073, 47.47819289158433], [-0.5423174883873929, 47.477427881130616], [-0.5418859378002865, 47.477271932294606], [-0.540957107466084, 47.476918285832625], [-0.5408147800647202, 47.47666612434605], [-0.5392498108494558, 47.474856473813595], [-0.5383772094988162, 47.476080486591215], [-0.5393058087161575, 47.476385357987255], [-0.5387870444689534, 47.4771042041674], [-0.5390819640320937, 47.47737032963407], [-0.5399769071435664, 47.47774366823455], [-0.5380026883805809, 47.479346348418034], [-0.5380459555909543, 47.47935937703939], [-0.5383826050508148, 47.4795141963854], [-0.5386619412126928, 47.479674477163215], [-0.5391951053242046, 47.48009330003909], [-0.5393935662318423, 47.48026100733202], [-0.5401963755148959, 47.48007025152367], [-0.5402382169754734, 47.48005438223198], [-0.5417200997998165, 47.479537489950154], [-0.5420084423734141, 47.47938223998865], [-0.5436853970564065, 47.48027369762332], [-0.5460909090119063, 47.47790084146238], [-0.5442042890174615, 47.47724023635847]]], ""type"": ""Polygon""}";47.47824508863644, -0.5415198250543711
602;ECOLE ANNIE FRATELLINI;1093;759;69.4;759;69.4;15;2.0;60;7.9;684;90.1;30;546;79.8;138;20.2;"{""coordinates"": [[[-0.532284036607647, 47.47415100273091], [-0.5321553822734256, 47.4743530270255], [-0.5303756451860132, 47.47460383342452], [-0.5291777754955691, 47.47470789164396], [-0.5263638777914588, 47.47495476309957], [-0.5264431781799809, 47.47506217383311], [-0.5283064109714847, 47.47627753735498], [-0.528278482640007, 47.47690227806072], [-0.5236105601643957, 47.47862311887611], [-0.5232622214590386, 47.478789606144154], [-0.5266905581686068, 47.47977947952465], [-0.528186531141699, 47.47896538248633], [-0.5304986968551566, 47.47778154985007], [-0.5346709021389623, 47.47559901296768], [-0.5341073676213072, 47.47486442503384], [-0.532284036607647, 47.47415100273091]]], ""type"": ""Polygon""}";47.476747778841776, -0.5293516336688087
